1,Alice,14_30_38_2021_02_19,50,150,0
0.1215,0.001,0.95675,0.06425,-0.05375,-0.9985
0.12225,0.00075,0.964,0.0635,-0.05375,-1.00375
0.12225,0.003,0.965,0.062,-0.05275,-1.00375
0.12125,0.00275,0.96075,0.06375001,-0.0495,-1.00025
0.121,0.00125,0.9635,0.06375001,-0.054,-1.001
0.12375,-0.00075,0.9635,0.06575,-0.05575,-1.00475
0.121,0.00275,0.96675,0.064,-0.0525,-1.005
0.1195,0.00125,0.95775,0.06275,-0.05175,-1.00275
0.12025,0.00275,0.9645001,0.06275,-0.05225,-1.00275
0.12025,0.00125,0.9645001,0.06425,-0.05325,-1.00425
0.12025,0.00125,0.9645001,0.064,-0.053,-1.00475
0.12275,0.0025,0.95675,0.06275,-0.05075,-0.9985
0.12325,0.002,0.96025,0.0615,-0.05375,-1.003
0.12025,0.002,0.9647501,0.06425,-0.05275,-1.00575
0.12025,0.002,0.9647501,0.06425,-0.05275,-1.00575
0.12,0.001,0.964,0.0635,-0.05275,-1.0035
0.12225,0.00125,0.9625,0.06325001,-0.0525,-1.00225
0.1235,0.0005,0.9615,0.06225,-0.05275,-1.001
0.12275,0.00175,0.9630001,0.06175,-0.05375,-1.0015
0.12275,0.00175,0.9630001,0.06375001,-0.053,-1.0035
0.122,0.00075,0.9620001,0.063,-0.053,-1.00325
0.12175,0.002,0.96275,0.0635,-0.053,-1.00375
0.12225,0.00125,0.9625,0.06225,-0.0515,-1.003
0.1225,0.0005,0.9625,0.063,-0.053,-1.004
0.12125,0.002,0.96425,0.06275,-0.05225,-1.00325
0.12125,0.002,0.9630001,0.062,-0.05275,-1.0035
0.12,0.00375,0.965,0.064,-0.0515,-1.005
0.122,0.00075,0.96075,0.06275,-0.052,-1
0.1215,0.00225,0.9665,0.06325001,-0.05325,-1.00525
0.123,0.0015,0.9652501,0.0635,-0.0535,-1.00375
0.12,0.00325,0.9665,0.0625,-0.05175,-1.0045
0.12075,0.00175,0.9605001,0.06500001,-0.054,-1.0045
0.12075,0.0005,0.9612501,0.06325001,-0.0525,-1.0015
0.12125,0.00075,0.96425,0.06175,-0.05225,-1.001
0.122,0.003,0.966,0.063,-0.0535,-1.00425
0.122,0.003,0.966,0.063,-0.0535,-1.00425
0.122,0.003,0.966,0.063,-0.0535,-1.00425
0.12125,0.002,0.961,0.063,-0.0525,-1.00075
0.121,0.001,0.95825,0.061,-0.05275,-1.0015
0.1205,0.00225,0.9645001,0.06225,-0.054,-1.00425
