2,Alice,15_25_28_2021_02_19,50,300,0
0.89525,0.191,-0.56275,0.877,0.217,0.5155
0.89525,0.191,-0.56275,0.877,0.217,0.5155
0.89525,0.191,-0.56275,0.877,0.217,0.5155
0.89525,0.191,-0.56275,0.877,0.217,0.5155
0.89525,0.191,-0.56275,0.877,0.217,0.5155
0.89525,0.191,-0.56275,0.877,0.217,0.5155
0.89525,0.191,-0.56275,0.877,0.217,0.5155
0.89525,0.191,-0.56275,0.877,0.217,0.5155
0.89525,0.191,-0.56275,0.877,0.217,0.5155
0.89525,0.191,-0.56275,0.877,0.217,0.5155
0.89525,0.191,-0.56275,0.877,0.217,0.5155
0.89525,0.191,-0.56275,0.877,0.217,0.5155
0.89525,0.191,-0.56275,0.877,0.217,0.5155
0.89525,0.191,-0.56275,0.877,0.217,0.5155
0.89525,0.191,-0.56275,0.877,0.217,0.5155
0.89525,0.191,-0.56275,0.877,0.217,0.5155
0.90075,0.19275,-0.56275,0.8650001,0.236,0.51775
0.9,0.186,-0.5625,0.8715,0.23175,0.516
0.9,0.186,-0.5625,0.8715,0.23175,0.516
0.90025,0.195,-0.55425,0.8757501,0.22325,0.5125
0.9037501,0.19525,-0.55425,0.8750001,0.225,0.514
0.9020001,0.197,-0.54625,0.874,0.22275,0.5075001
0.9020001,0.197,-0.54625,0.874,0.22275,0.5075001
0.9012501,0.204,-0.5505,0.8775001,0.21425,0.5100001
0.9037501,0.1925,-0.56275,0.86975,0.23125,0.51775
0.9037501,0.1925,-0.56275,0.86975,0.23125,0.51775
0.8935,0.19525,-0.56225,0.86475,0.2245,0.52
0.8930001,0.19925,-0.5595,0.86625,0.219,0.51975
0.896,0.19625,-0.558,0.8650001,0.22,0.51725
0.8940001,0.1985,-0.554,0.8615,0.223,0.51175
0.8995001,0.19975,-0.544,0.8735,0.21725,0.511
0.906,0.20275,-0.555,0.8775001,0.22225,0.5157501
0.90825,0.19975,-0.5645,0.87925,0.2245,0.52
0.9077501,0.18525,-0.569,0.8660001,0.24,0.5205
0.90275,0.18625,-0.55975,0.87225,0.2315,0.51275
