2,Bad,19_38_06_2021_02_19,50,300,0
0.378,0.15425,-0.9675,1.054,-0.1945,0.16325
0.37875,0.165,-0.94425,0.9565001,-0.17425,0.2375
0.37875,0.165,-0.94425,0.9565001,-0.17425,0.2375
0.37875,0.165,-0.94425,0.9565001,-0.17425,0.2375
0.37875,0.165,-0.94425,0.9565001,-0.17425,0.2375
0.36975,0.14675,-0.9590001,1.01175,-0.14375,0.25725
0.3715,0.17575,-0.97225,1.072,-0.1565,0.28875
0.37,0.118,-1.016,0.99975,-0.15975,0.2945
0.37,0.118,-1.016,0.99975,-0.15975,0.2945
0.38475,0.1135,-0.984,0.92625,-0.13425,0.27525
0.3795,0.08825,-0.99475,0.961,-0.1165,0.281
0.40575,0.16975,-0.9225,0.9645001,0.018,0.30375
0.4175,0.15875,-0.946,0.99625,0.057,0.32925
0.412,0.17075,-0.9680001,1.02775,0.0495,0.2985
0.38025,0.15575,-1.01325,1.0415,0.104,0.33025
0.36675,0.14925,-0.9795001,0.8325,-0.042,0.36275
0.39975,0.143,-0.9185001,0.827,0.08975001,0.399
0.41225,0.238,-0.8527501,1.118,0.41325,0.168
0.4025,0.3195,-0.947,1.07325,0.11725,0.1495
0.35025,0.38475,-0.9350001,0.791,-0.04725,-0.023
0.37375,0.40675,-0.8847501,0.8477501,-0.1545,-0.21025
0.37475,0.44475,-0.86975,1.149,-0.08625001,-0.22125
0.3605,0.4285,-0.8425,1.3555,0.0115,-0.103
0.3995,0.43475,-0.9137501,0.625,-0.33425,-0.3025
0.43525,0.3895,-0.9095001,0.7875,0.10775,-0.50775
0.435,0.34525,-0.867,1.07625,-0.02275,-0.17925
0.44875,0.33375,-0.84025,0.69475,-0.286,-0.44725
0.5272501,0.3325,-0.7960001,0.7245001,-0.5477501,-0.5055
0.583,0.30225,-0.7985001,0.67325,-0.39475,-0.73175
0.62,0.28325,-0.77575,0.522,-0.10975,-0.811
0.563,0.3195,-0.8135,0.4065,-0.0755,-0.757
0.50875,0.33275,-0.84675,0.372,-0.2575,-0.65775
0.5,0.34775,-0.90325,0.3345,-0.45625,-0.6455
0.487,0.27275,-0.8955001,0.37675,-0.39875,-0.65
0.3155,0.007,-0.85725,0.4435,-0.27,-0.59475
0.3625,0.09150001,-1.072,0.4755,-0.26025,-0.4975
0.3725,0.181,-1.1125,0.5305001,-0.2235,-0.433
0.41325,0.2355,-1.0415,0.4675,0.11675,-0.64525
0.49,0.218,-0.88425,0.33075,-0.31,-1.35375
0.48225,0.14625,-0.849,0.45475,-0.28775,-1.1595
0.475,0.122,-0.8872501,0.3585,-0.04675,-1.025
0.46575,0.13175,-0.93475,0.531,0.06075,-0.98375
0.437,0.149,-0.9670001,0.6445,-0.0325,-0.8895
0.414,0.161,-0.956,0.67825,-0.20725,-0.7690001
0.412,0.15725,-0.9702501,0.74,-0.1245,-0.837
0.42925,0.1745,-0.95825,0.69525,-0.0435,-1.01
0.438,0.16925,-0.9455,0.5755,0.006,-1.0415
0.449,0.14525,-0.9285001,0.5757501,-0.38225,-1.08425
0.45525,0.09675001,-0.9310001,0.64175,-0.49025,-0.9630001
0.473,0.1255,-0.9225,0.715,-0.46825,-1.31775
0.473,0.1255,-0.9225,0.715,-0.46825,-1.31775
0.45375,0.16625,-0.9217501,0.62125,-0.35475,-0.91725
0.456,0.19375,-0.91875,0.501,-0.37925,-0.8285
0.454,0.177,-0.91575,0.501,-0.37925,-0.8285
0.45875,0.16875,-0.90975,0.49975,-0.28375,-0.77
0.5132501,0.1805,-0.956,0.54175,-0.2665,-0.73875
0.4815,0.14275,-0.8955001,0.6295,-0.246,-0.753
0.4755,0.1245,-0.895,0.5470001,-0.3385,-0.9192501
0.45725,0.14925,-0.9407501,0.64925,-0.348,-0.883
0.44925,0.18525,-0.9615,0.6892501,-0.218,-0.8275
0.44975,0.18825,-0.9225,0.53325,-0.1115,-0.8345
0.45,0.18725,-0.9350001,0.59425,-0.04175,-0.7640001
0.4575,0.20025,-0.9415001,0.6655,0.10575,-0.7722501
0.45975,0.187,-0.9110001,0.72075,0.20225,-0.58075
0.461,0.158,-0.9135001,0.72025,0.08625001,-0.57225
0.43475,0.133,-0.97225,0.6055,-0.03,-0.6425
0.4475,0.10725,-0.93875,0.5565,0.02375,-0.7147501
0.38225,0.15625,-1.01275,0.70275,0.163,-0.55475
