2,DieDi,23_43_04_2021_02_19,50,300,15
0.0965,0.0115,-1.034,0.08375,-0.04325,-1.002
0.1025,0.00825,-1.03325,0.08125,-0.054,-1.01125
0.09675001,0.0135,-1.042,0.081,-0.0395,-1.0115
0.10125,0.011,-1.03175,0.08625001,-0.048,-1.00425
0.09825,0.0125,-1.0345,0.08400001,-0.04225,-0.98975
0.09150001,0.002,-1.0325,0.087,-0.04125,-1.004
0.09625001,0.02075,-1.03875,0.08575001,-0.04525,-0.9875001
0.09475,0.00525,-1.02675,0.078,-0.0435,-0.997
0.32725,-0.03375,-1.26525,0.085,-0.02775,-0.96675
0.32725,-0.03375,-1.26525,0.085,-0.02775,-0.96675
0.376,-0.4715,-0.87275,0.085,-0.02775,-0.96675
0.40675,-0.9305,-1.0545,0.08825,-0.05025,-1.0345
-0.32525,0.21975,-1.20125,0.01825,0.83325,-1.96175
0.32075,0.3815,-0.8297501,-0.2255,0.41125,-0.55475
-0.55125,-0.21075,-1.13325,0.363,-0.21075,-0.9760001
-0.632,-0.436,-1.0295,0.043,0.07425001,-0.9562501
-0.6765,-0.50525,-1.07275,-0.24775,0.23025,-1.067
0.06900001,0.448,-1.08525,-0.17025,0.365,-0.98075
0.10475,0.5525,-1.2005,-0.2405,0.31225,-1.097
0.07625,0.34025,-1.2395,-0.6515,0.51425,-1.07275
0.111,0.0705,-0.9675,-0.5575,-0.48675,-1.6685
-0.04025,-0.1795,-1.0845,-0.18325,-0.55175,-2.29475
-0.01725,0.0145,-1.08075,-0.0675,-0.23425,-2.0245
-0.04725,0.2545,-1.14225,-0.42,-0.31925,-1.58875
-0.23,0.854,-0.669,-0.4,-0.07175,-1.25025
-0.1655,0.59925,-1.06325,-0.264,0.09225,-0.8980001
-0.08000001,0.751,-0.93525,-0.0815,0.09975,-0.61575
-0.151,1.08275,-0.836,-0.2465,0.33125,-0.4285
-0.1725,1.00275,-0.59975,-0.09450001,0.339,-0.44725
-0.208,1.166,-0.51975,-0.03675,0.3945,-0.53525
-0.0565,0.9385,-0.3905,0.0815,0.24675,-0.37675
0.09925,0.7865,-0.211,0.058,0.358,-0.1645
0.18875,0.6345,-0.4055,0.02325,0.41575,-0.14875
0.30125,0.65175,-0.27975,-0.22125,0.4725,-0.01
0.167,0.65075,-0.31,-0.44625,0.37825,-0.08050001
0.10225,0.27425,-0.42825,-0.17725,0.06950001,-0.40175
0.27425,0.11,-0.34675,-0.079,0.22225,-0.47525
0.44075,0.0555,-0.11725,0.0665,0.24125,-0.5805
0.419,0.08675,-0.22425,0.12575,0.2525,-0.551
0.15275,0.49925,-0.21325,0.12575,0.2525,-0.551
0.15275,0.49925,-0.21325,0.12575,0.2525,-0.551
0.361,0.10825,-0.1785,0.12575,0.2525,-0.551
0.2345,0.294,-0.15075,-0.09625001,0.063,-0.6810001
0.1545,0.453,-0.09500001,-0.056,0.236,-0.8592501
0.10425,0.55175,-0.18525,-0.00125,0.41,-1.12725
0.10425,0.55175,-0.18525,-0.1365,0.18525,-1.337
-0.14125,1.405,-0.21775,0.16525,-0.179,-1.06975
0.1245,1.5845,-0.14725,0.16525,-0.179,-1.06975
0.37725,1.48525,-0.28975,0.2605,-0.93275,-1.358
-0.0415,1.5605,-0.26875,0.2925,-1.001,-1.42175
0.3455,1.3465,0.24,0.187,-0.79725,-1.10325
0.20625,1.47025,0.10425,0.15125,-0.83525,-1.234
0.177,1.35375,0.22,0.149,-0.7475001,-1.343
0.1835,1.20675,0.40525,0.219,-0.456,-1.62225
0.21175,1.6035,0.215,0.10025,-0.341,-1.58425
0.33575,1.46025,0.46875,-0.0505,-0.3165,-1.526
0.46425,1.1865,0.3325,-0.23,-0.2285,-1.475
0.26525,1.22825,0.28575,-0.343,0.00075,-1.35275
0.2805,1.248,0.20725,-0.44675,0.22175,-1.2025
0.31675,1.08075,0.163,-0.56525,0.43825,-1.0505
0.44075,1.55425,0.04025,-0.52325,0.46725,-1.023
0.49475,1.60825,-0.02025,-0.45775,0.349,-1.04425
0.372,1.51925,-0.09475,-0.4525,0.25625,-0.89925
0.30625,1.4215,-0.214,-0.37925,0.137,-0.83275
0.34975,1.22725,-0.3105,-0.40325,0.20875,-0.7685
0.45575,1.2935,-0.43675,-0.485,0.56375,-0.7825
0.448,1.25925,-0.5,-0.484,0.53,-0.8435
0.42975,1.3275,-0.56075,-0.484,0.53,-0.8435
0.24775,1.3585,-0.57425,-0.592,0.437,-0.8715
0.46825,1.406,-0.44875,-0.52975,0.35225,-0.78525
0.4535,1.31975,-0.31875,-0.42325,0.3305,-0.73325
0.4535,1.31975,-0.31875,-0.28625,0.43175,-0.72575
0.4455,1.427,-0.2935,-0.159,0.46075,-0.82125
0.403,1.50375,-0.33175,-0.1125,0.40375,-0.94525
0.391,1.56125,-0.3355,-0.15275,0.18525,-1.0635
0.3735,1.488,-0.27625,0.051,0.30325,-1.28525
0.32575,1.21725,-0.19675,0.12825,0.40175,-1.39925
0.34675,1.1585,-0.042,0.1055,0.46225,-1.33525
0.34425,1.21925,0.0675,-0.06075,0.37375,-1.4015
0.3865,1.24125,0.12375,-0.114,0.32675,-1.41075
0.38925,1.234,0.07575,-0.06525,0.28,-1.476
0.3905,1.1015,-0.2135,-0.02675,0.28025,-1.3
0.343,1.00275,-0.3515,-0.037,0.31525,-1.19875
0.03975,0.7835,-0.40325,0.04325,0.15225,-1.315
0.161,0.608,-0.25275,0.04325,0.15225,-1.315
0.2505,0.65475,-0.30675,0.156,0.11075,-1.42625
0.25025,0.7025,-0.45025,0.129,0.19275,-1.36675
0.254,0.60175,-0.41975,0.09325001,0.181,-1.28225
0.274,0.55475,-0.44275,0.14575,0.122,-1.159
0.42175,0.3465,-0.48025,0.27875,-0.0535,-1.1155
0.43425,0.26575,-0.397,0.274,-0.10875,-1.23325
0.3905,0.262,-0.35025,0.274,-0.10875,-1.23325
0.35925,0.36,-0.40475,0.305,-0.178,-1.259
0.28825,0.1905,-0.59675,0.27425,-0.07675,-1.03425
0.5840001,0.0925,-0.7355,0.27325,0.05125,-0.8905001
0.73425,0.05325,-0.71025,0.22275,0.1,-0.76425
0.65425,-0.14875,-0.48175,0.16575,-0.0255,-0.70375
0.62075,-0.176,-0.394,0.3415,-0.16225,-0.6615
0.5935,-0.189,-0.40775,0.3965,-0.115,-0.7960001
0.44025,-0.33425,-0.347,0.2905,0.085,-0.5315
0.456,-0.2835,-0.11575,0.29625,0.07875001,-0.4625
0.50475,-0.10825,-0.154,0.356,0.0925,-0.43025
0.61125,-0.04475,-0.439,0.356,0.0925,-0.43025
0.4255,-0.20125,-0.60525,0.4505,0.13525,-0.428
0.264,-0.2905,-0.5925,0.5105,0.253,-0.567
0.349,-0.20575,-0.535,0.541,0.39425,-0.5365
0.4605,-0.20025,-0.64875,0.541,0.39425,-0.5365
0.41625,-0.3335,-0.8380001,0.45775,0.399,-0.36725
0.6455,-0.26925,-0.6075,0.44175,0.367,-0.31925
1.17,-0.089,-1.14425,0.4505,0.33375,-0.3765
1.04575,-0.398,-1.33925,0.6035,0.335,-0.58675
1.029,-0.26775,-1.0515,0.47175,0.3695,-0.567
1.3255,-0.042,-1.252,0.6447501,0.32,-0.6842501
0.6865,-0.164,-1.00225,0.8822501,0.3145,-0.517
0.6865,-0.164,-1.00225,0.7812501,0.366,-0.25175
0.51725,-0.0565,-0.46725,0.74725,0.3955,0.002
0.57075,0.0195,-0.329,0.79325,0.413,0.21825
0.47525,-0.02175,-0.29625,0.6825,0.56375,-0.9965001
0.82775,-0.13825,-1.40775,0.5995,0.52525,-0.6585
0.30575,-0.41425,-1.186,0.6555001,0.43925,-0.46925
0.4265,-0.3115,-0.60575,0.60275,0.29775,-0.47
0.7205001,0.0125,-0.4,0.5545,0.2795,-0.5105
0.55075,0.17,-0.98225,0.352,0.40875,-0.7385001
0.575,-0.0975,-0.94175,0.35775,0.33925,-0.68875
0.62925,-0.087,-0.8265001,0.79575,0.57225,-0.75775
0.6792501,-0.413,-0.809,0.3725,0.6685,-1.23075
0.6792501,-0.413,-0.809,0.49225,0.6685,-0.9765
0.57675,-0.59275,-0.647,0.29525,0.677,-0.6655
0.859,-0.63175,-0.71175,0.43225,0.58225,-0.594
0.844,-0.075,-0.84275,0.5735,0.408,-0.776
0.675,0.1,-0.73475,0.52975,0.45125,-0.7730001
0.69375,0.336,-0.6932501,0.5205,0.50875,-0.7590001
0.63275,0.187,-0.8537501,0.52125,0.4995,-0.9415001
0.63275,0.187,-0.8537501,0.52125,0.4995,-0.9415001
0.69875,-0.1855,-0.7600001,0.47525,0.333,-1.05125
0.6842501,-0.26275,-0.7325,0.407,0.2455,-0.9710001
0.71575,-0.212,-0.72,0.47175,0.1185,-0.9335001
0.6867501,-0.1595,-0.8297501,0.6025,-0.00525,-0.75675
0.666,-0.2595,-0.90275,0.73675,0.10125,-0.577
0.6390001,-0.3015,-0.9,0.733,0.2925,-0.527
0.53125,-0.49175,-0.9160001,0.7255,0.58075,-0.5175
0.5515,-0.998,-0.934,0.68725,0.5885,-0.6152501
0.6705,-1.3095,-0.85425,0.655,0.636,-0.729
0.4335,-1.263,-0.7795,0.6695001,0.671,-0.77825
0.9522501,-1.9275,-0.276,0.7475001,0.62875,-0.84825
0.8092501,-1.55625,-0.4035,0.7155001,0.66,-0.73175
0.6135001,-1.064,-0.6185001,0.6025,0.59975,-0.73375
-0.06775001,-0.3765,-0.34875,0.59025,0.60175,-0.85325
-0.185,-0.23125,-0.26125,0.501,0.5355,-0.6817501
-0.2595,-0.3945,-0.481,0.455,0.352,-0.33575
-0.23675,-0.16975,-0.6195,0.483,0.19825,-0.16375
-0.3035,-0.1315,-0.766,0.5515,0.162,-0.0325
-0.39025,-0.385,-1.1615,0.559,0.11225,0.01225
-0.42875,-0.47675,-1.36425,0.65175,0.03125,0.02125
-0.3925,-0.349,-1.284,0.75925,-0.06675,0.00525
-0.12925,-0.65175,-1.11475,0.95125,-0.19675,0.022
0.236,-1.121,-1.3065,0.9575,-0.22425,0.0535
0.8195,-1.2365,-1.15725,1.326,-0.36975,0.168
1.4285,-0.9925001,-1.0125,1.696,-0.3005,0.14225
1.9315,-1.0365,-0.8247501,2.62325,-0.082,-0.5255
4.18525,-1.5485,-0.89825,1.87125,0.31375,-1.05225
3.74575,-2.0865,-1.49775,1.22425,0.2805,-0.95775
-0.3685,-0.57375,-0.9580001,0.8225001,-0.13125,-0.41925
-1.12375,-0.3745,-0.8882501,0.50475,-0.207,-0.39
-1.092,-0.5965,-0.609,0.3005,-0.0865,-0.496
-0.11575,-1.17275,-0.32675,0.44075,-0.00175,-0.422
0.75525,-1.1415,-0.187,0.54925,-0.00075,-0.2255
0.51025,-1.035,-0.0905,0.7657501,0.08425,-0.0505
0.1555,-0.5235,0.6,1.0415,0.13225,-0.02425
0.6765,0.01125,-0.36575,1.179,0.2845,-0.1495
-0.00075,-0.72975,-0.7815,1.3025,0.45125,-0.30625
0.6012501,-0.7165,-0.295,1.38325,0.59475,-0.24925
0.282,-0.67875,0.26675,1.2915,0.67075,-0.224
0.09275001,-0.7305,0.8732501,1.0565,0.68825,-0.138
0.69475,-1.302,0.51475,0.81375,0.49375,0.07125001
0.9105,-1.32975,-0.19275,0.6765,0.4585,0.07275
0.152,-0.848,-0.27075,0.77,0.35675,0.05475
0.41375,-0.8782501,-0.45025,0.867,0.34175,0.15525
0.48225,-1.08675,-0.80875,0.87975,0.36825,0.28
0.4195,-0.8527501,-0.7705001,0.87025,0.34175,0.1995
0.43375,-0.61625,-0.58,1.0645,0.203,-0.03725
0.23725,-0.36975,-0.488,1.20275,0.178,-0.11975
0.32675,-1.15125,-0.1295,1.071,0.24225,0.0315
0.30325,-1.42875,-0.0075,0.9992501,0.327,0.0025
0.20925,-1.25725,0.00725,0.9670001,0.374,-0.054
-0.01025,-0.8362501,-0.5,0.799,0.33425,0.0155
0.161,-1.065,-0.382,0.6587501,0.265,0.24075
0.3955,-1.3475,-0.30525,0.7450001,0.335,0.20675
0.409,-1.31475,-0.34225,1.13225,0.793,-0.0435
0.1775,-0.7745,-0.74,1.0525,0.8285,0.02225
0.2095,-0.9225,-0.89775,0.6725,0.6160001,0.242
0.2435,-0.9155,-0.76525,0.58325,0.51025,0.4095
0.259,-0.726,-0.1895,1.19575,0.32325,-0.16425
0.22125,-0.79975,-0.04975,1.17875,0.33925,-0.43025
0.21375,-1.03375,-0.1315,1.3405,0.26125,-0.14125
0.049,-0.8725001,-0.629,0.98325,0.10175,0.11275
0.0625,-0.61725,-0.81625,0.62375,-0.017,0.44075
0.101,-0.87925,-0.734,0.7730001,0.02175,0.28325
