2,Doc,02_22_47_2021_02_07,50,300,12
0.80875,0.15775,-0.6475,0.07575,-0.04125,-0.99875
0.8095,0.1525,-0.64425,0.075,-0.04225,-0.9985
0.80475,0.14925,-0.6382501,0.07650001,-0.04275,-0.99775
0.807,0.1455,-0.6357501,0.07675,-0.04275,-0.99975
0.80525,0.1455,-0.6385,0.07625,-0.0425,-0.99875
0.80375,0.15125,-0.649,0.0755,-0.04225,-0.99775
0.811,0.14575,-0.65775,0.07525001,-0.0425,-0.9975001
0.811,0.14575,-0.65775,0.0755,-0.041,-0.9982501
0.79725,0.15875,-0.65125,0.07700001,-0.04325,-0.9985
0.7960001,0.156,-0.6950001,0.07675,-0.044,-0.9992501
0.7785,0.15275,-0.6777501,0.07625,-0.043,-0.9985
0.7877501,0.1945,-0.716,0.07575,-0.04225,-0.99875
0.7590001,0.1845,-0.7147501,0.0755,-0.043,-0.9982501
0.73425,0.1765,-0.6945,0.07600001,-0.0425,-0.9982501
0.72525,0.1615,-0.6850001,0.07625,-0.04275,-0.9982501
0.725,0.15,-0.6932501,0.0755,-0.0425,-0.99875
0.73075,0.1435,-0.6990001,0.07575,-0.0425,-0.9992501
0.734,0.1635,-0.7235,0.07600001,-0.04275,-0.9985
0.7320001,0.17775,-0.7355,0.07475001,-0.041,-0.9992501
0.72725,0.1765,-0.73475,0.0745,-0.042,-0.9975001
0.7162501,0.184,-0.7187501,0.07675,-0.04325,-0.99875
0.72,0.18275,-0.7215,0.07475001,-0.0425,-0.99875
0.7327501,0.17675,-0.72675,0.07475001,-0.0425,-0.99875
0.7465,0.16075,-0.72175,0.07525001,-0.042,-0.9992501
0.7607501,0.15025,-0.71575,0.0755,-0.04275,-0.99775
0.7657501,0.1425,-0.7135,0.07700001,-0.044,-0.9992501
0.7442501,0.15075,-0.6982501,0.07600001,-0.04175,-0.99875
0.747,0.15675,-0.70125,0.075,-0.042,-0.99775
0.75425,0.16025,-0.7047501,0.075,-0.042,-0.99875
0.753,0.16075,-0.69775,0.07575,-0.043,-0.9985
0.763,0.14775,-0.69775,0.07600001,-0.0415,-0.99875
0.77,0.1405,-0.6965,0.07650001,-0.043,-0.99775
0.7725,0.1345,-0.6925001,0.07700001,-0.0435,-0.9990001
