2,Normalll,20_07_31_2021_02_19,50,300,8
0.1025,0.01275,-1.03675,0.09950001,-0.011,-0.99975
0.1025,0.01275,-1.03675,0.09950001,-0.011,-0.99975
0.1025,0.01275,-1.03675,0.09950001,-0.011,-0.99975
0.1025,0.01275,-1.03675,0.09950001,-0.011,-0.99975
0.1025,0.01275,-1.03675,0.09950001,-0.011,-0.99975
0.1025,0.01275,-1.03675,0.09950001,-0.011,-0.99975
0.1025,0.01275,-1.03675,0.09950001,-0.011,-0.99975
0.51375,0.34225,-0.7730001,0.109,-0.01175,-1.0135
0.43225,0.35625,-0.87525,0.11175,-0.07425001,-1.067
0.43275,0.363,-0.8337501,0.09375001,-0.02925,-0.9860001
0.52075,0.34975,-0.78975,0.08875,0.024,-0.9440001
0.54175,0.46775,-0.79875,0.0905,0.01275,-0.95825
0.563,0.46025,-0.6435,0.10125,-0.05725,-1.0295
0.4595,0.439,-1.6635,0.09325001,0.04275,-0.93975
0.6415001,0.40375,-1.071,0.09500001,0.04825,-0.94125
0.77075,0.33575,-0.725,0.107,-0.0445,-1.0255
0.70575,0.2925,-0.9457501,0.1,-0.103,-1.04425
0.754,0.267,-0.66075,0.0925,-0.071,-1.01725
0.754,0.267,-0.66075,0.05875,0.08400001,-0.8387501
0.7015001,0.09425,-0.67725,0.082,-0.0245,-0.9735001
0.67225,0.00675,-0.70275,0.081,-0.07725,-0.9432501
0.67225,0.00675,-0.70275,0.08125,0.14775,-0.8575
0.74125,0.02525,-0.52925,0.1025,-0.04725,-1.03925
0.7657501,-0.00125,-0.49225,0.10225,-0.09850001,-1.07375
0.70775,-0.00025,-0.1965,0.10325,-0.0535,-1.03625
0.94275,0.08400001,-0.29075,0.0975,0.04425,-0.9545
0.9677501,-0.0355,-0.4165,0.10225,-0.03375,-1.02625
0.9677501,-0.0355,-0.4165,0.10225,-0.03375,-1.02625
0.9925001,-0.02125,-0.23725,0.10125,-0.0495,-1.03125
1.01175,0.10475,-0.3735,0.09125,0.0735,-0.91575
1.01175,0.10475,-0.3735,0.1005,-0.034,-1.02375
1.0405,-0.02075,-0.03275,0.1015,-0.0435,-1.02975
1.05,0.059,-0.055,0.1015,-0.0195,-1.01025
1.034,0.03,-0.102,0.09575,0.02825,-0.9710001
1.0145,-0.041,-0.04975,0.09925,-0.01175,-1.01325
1.0335,-0.0445,0.04025,0.096,-0.02025,-1.01375
0.9727501,-0.04675,0.08125,0.10025,-0.0115,-1.00675
1.018,-0.052,0.08425,0.10025,0.00625,-0.992
1.069,-0.0615,0.14325,0.09475,0.01625,-0.98225
1.01975,-0.06225,0.08125,0.10125,-0.0165,-1.008
1.019,-0.05525,0.032,0.102,-0.01675,-1.00825
1.0205,-0.0515,-0.058,0.1015,-0.00975,-1.00975
1.03875,-0.01475,0.05875,0.09825,0.00975,-0.9885001
1.05375,0.01075,0.1645,0.09825,0.011,-0.9867501
1.03775,-0.0155,0.1365,0.102,-0.0125,-1.005
1.02875,-0.03275,0.08475,0.10375,-0.01575,-1.00875
1.04325,-0.01225,0.01675,0.09925,-0.00575,-1.00975
1.0305,-0.044,0.04925,0.09450001,0.02425,-0.97475
1.025,-0.05675,0.09275001,0.09875,0.003,-0.9925001
1.025,-0.05675,0.09275001,0.09875,0.003,-0.9925001
1.025,-0.05675,0.09275001,0.09875,0.003,-0.9925001
1.025,-0.05675,0.09275001,0.09875,0.003,-0.9925001
1.025,-0.05675,0.09275001,0.09875,0.003,-0.9925001
1.025,-0.05675,0.09275001,0.09875,0.003,-0.9925001
1.025,-0.05675,0.09275001,0.09875,0.003,-0.9925001
1.025,-0.05675,0.09275001,0.09875,0.003,-0.9925001
1.025,-0.05675,0.09275001,0.09875,0.003,-0.9925001
1.025,-0.05675,0.09275001,0.09875,0.003,-0.9925001
1.025,-0.05675,0.09275001,0.09875,0.003,-0.9925001
1.025,-0.05675,0.09275001,0.09875,0.003,-0.9925001
1.025,-0.05675,0.09275001,0.09875,0.003,-0.9925001
1.025,-0.05675,0.09275001,0.09875,0.003,-0.9925001
1.025,-0.05675,0.09275001,0.09875,0.003,-0.9925001
1.025,-0.05675,0.09275001,0.09875,0.003,-0.9925001
1.025,-0.05675,0.09275001,0.09875,0.003,-0.9925001
1.1525,-0.17525,-0.059,0.1005,-0.009500001,-1.00125
1.52025,-0.13975,-0.24175,0.10075,-0.006,-1.003
1.463,-0.19525,-0.1765,0.09675001,0.00225,-0.9992501
1.287,-0.24475,-0.26575,0.098,0.00025,-1.00275
1.101,-0.40475,-0.2015,0.09950001,-0.00475,-1.00125
0.973,-0.36675,-0.25375,0.0965,-0.00275,-0.9990001
0.8790001,-0.265,-0.39575,0.10125,-0.009500001,-1.001
0.839,-0.1175,-0.59825,0.1025,-0.01075,-1.004
0.7715001,-0.0295,-0.568,0.09850001,-0.00175,-1.0005
0.53025,0.132,-0.3895,0.0975,-0.00125,-1.00125
0.664,0.2485,-0.33475,0.09950001,-0.0045,-1
0.743,0.3385,-0.4075,0.10175,-0.00775,-1.00125
0.59675,0.22075,-0.449,0.09925,-0.00325,-1.00175
0.78075,0.35175,-0.5175,0.0975,-0.0005,-0.9992501
0.66675,0.45275,-0.452,0.1005,-0.00275,-0.99975
0.65975,0.52625,-0.9227501,0.10125,-0.0055,-1.00175
0.594,0.33425,-0.8412501,0.09925,-0.00475,-1.0025
0.62025,0.39,-0.57875,0.09925,-0.0035,-0.9990001
0.5635,0.88675,-0.8555,0.09975,-0.00975,-1.00225
0.42675,0.934,-1.28,0.10025,-0.012,-1.01075
0.2705,0.91475,-1.649,0.118,-0.131,-1.14825
0.22,0.7360001,-1.412,0.12175,0.013,-1.03625
0.309,0.71075,-1.0305,0.09225,0.04375,-0.95425
0.365,0.65725,-0.729,0.10075,-0.02625,-1.0225
0.33225,0.33425,-0.8415,-0.02125,-0.12225,-0.98975
0.3345,0.23025,-1.18875,0.5235,-0.269,-1.04225
0.253,0.17375,-1.30675,0.6070001,-0.46275,-0.84575
0.40225,0.1245,-0.64375,-0.0125,-0.1465,-1.12675
0.49175,0.039,-0.53925,-0.651,0.00875,-1.51875
0.59325,-0.02375,-0.43625,-0.65025,0.313,-1.79625
0.4865,-0.19775,-0.26475,0.1505,0.58125,-0.548
0.52775,-0.18925,-0.105,0.32175,0.2145,-0.89025
0.583,-0.191,0.0735,0.286,0.1515,-1.078
0.6115,-0.2055,0.1135,0.009000001,0.61075,-0.8715
0.71925,-0.26,0.01825,-0.27975,0.65825,-0.6515
0.7425,-0.33975,-0.1555,-0.46475,0.2515,-0.534
0.74275,-0.396,-0.34125,-0.4065,0.276,-0.13975
0.71125,-0.28525,-0.3385,-0.7055,0.134,-0.395
0.8092501,-0.21975,-0.38325,-0.24675,1.10625,-0.00525
0.8850001,-0.25975,-0.19575,-0.46925,0.5105,-0.6785001
0.96725,-0.27725,-0.21175,-0.375,0.50225,-0.59925
0.91975,-0.2515,-0.4555,0.34325,1.2235,-0.67825
0.7845001,-0.2435,-1.1535,-0.15675,0.59925,-1.16975
