0,QAQ,21_55_17_2021_02_18,50,200,13
0.467,-0.3665,-0.8615,0.406,-0.22225,-0.89825
0.467,-0.3665,-0.8615,0.406,-0.22225,-0.89825
0.467,-0.3665,-0.8615,0.406,-0.22225,-0.89825
0.467,-0.3665,-0.8615,0.406,-0.22225,-0.89825
0.467,-0.3665,-0.8615,0.406,-0.22225,-0.89825
0.467,-0.3665,-0.8615,0.406,-0.22225,-0.89825
0.467,-0.3665,-0.8615,0.406,-0.22225,-0.89825
0.467,-0.3665,-0.8615,0.406,-0.22225,-0.89825
0.467,-0.3665,-0.8615,0.406,-0.22225,-0.89825
0.467,-0.3665,-0.8615,0.406,-0.22225,-0.89825
0.467,-0.3665,-0.8615,0.406,-0.22225,-0.89825
0.49575,-0.2995,-0.455,0.27675,-0.04225,-0.4275
0.50425,-0.26275,-0.5705,0.374,0.02625,-0.2935
0.49875,-0.268,-0.623,0.41575,0.08350001,-0.278
0.4495,-0.1065,-0.6035,0.21675,0.28125,-0.69225
0.404,-0.06900001,-0.53275,0.2685,0.29175,-1.1135
0.40225,-0.04725,-0.508,0.342,0.234,-1.219
0.41825,-0.003,-0.50325,0.3285,0.2155,-1.22725
0.4,0.047,-0.54575,0.3935,0.3025,-1.1115
0.39775,0.2395,-0.8505,0.18025,0.28625,-0.9892501
0.40325,0.27575,-0.9305,-0.08175001,0.1535,-1.32075
0.42875,0.16,-1.028,0.299,0.41875,-0.69775
0.38225,0.127,-1.0055,0.41025,0.20975,-1.2285
0.432,0.12275,-1.03575,0.44225,0.22575,-0.987
0.38875,0.13025,-1.07125,0.40075,0.18475,-0.868
0.3505,0.1805,-1.12225,0.44925,0.02925,-0.79175
0.38,0.13975,-1.158,0.5765,-0.00275,-0.8002501
0.4805,0.00625,-1.056,0.65825,-0.075,-1.08025
0.47,0.00775,-1.02025,0.66225,-0.1595,-1.287
0.44675,0.0455,-0.9932501,0.7065001,-0.143,-1.21325
0.5412501,-0.04175,-0.951,0.6077501,-0.03525,-0.94025
0.5825,-0.12375,-0.9537501,0.69475,0.0275,-0.8185
0.628,-0.16425,-0.9885001,0.73875,-0.0155,-0.9515001
0.6525,-0.135,-1.06475,0.455,-0.303,-1.13275
0.6775,-0.17325,-1.077,0.433,-0.41875,-1.174
0.6332501,-0.15875,-1.124,0.4615,-0.3685,-1.1505
0.63025,-0.09625001,-1.18825,0.6012501,-0.11075,-1.04
0.66225,-0.02725,-1.26475,0.87875,-0.03825,-0.7467501
0.54875,-0.10425,-1.23125,0.69125,-0.0125,-0.61775
0.54875,-0.10425,-1.23125,0.41875,-0.17075,-0.8222501
0.5017501,-0.1345,-1.166,0.69475,-0.21275,-1.02725
0.4695,-0.13225,-1.00525,0.59925,-0.35075,-1.059
