2,QAQ,21_58_32_2021_02_18,50,300,12
0.904,0.04475,-0.5305001,0.7417501,-0.10875,-0.5975
0.904,0.04475,-0.5305001,0.7417501,-0.10875,-0.5975
0.904,0.04475,-0.5305001,0.7417501,-0.10875,-0.5975
0.904,0.04475,-0.5305001,0.7417501,-0.10875,-0.5975
0.904,0.04475,-0.5305001,0.7417501,-0.10875,-0.5975
0.904,0.04475,-0.5305001,0.7417501,-0.10875,-0.5975
0.904,0.04475,-0.5305001,0.7417501,-0.10875,-0.5975
0.904,0.04475,-0.5305001,0.7417501,-0.10875,-0.5975
0.904,0.04475,-0.5305001,0.7417501,-0.10875,-0.5975
0.566,-0.04075,-0.9440001,0.02375,-0.181,-1.17025
0.532,-0.015,-1.01925,0.1135,-0.27075,-1.22
0.5205,0.0905,-1.099,0.08025,-0.30725,-1.2845
0.28925,-0.1095,-1.21075,0.15525,-0.4205,-1.331
0.33375,-0.061,-1.25675,0.22475,-0.415,-1.31975
0.32875,-0.15625,-1.284,0.1035,-0.30975,-1.181
0.34275,-0.22725,-1.255,-0.0085,-0.216,-1.016
0.22225,-0.308,-1.1455,0.16325,-0.38,-0.78525
0.2905,-0.42725,-1.1675,0.362,-0.5885,-0.808
0.30575,-0.41025,-1.14375,0.493,-0.623,-1.025
0.32,-0.29075,-1.09025,0.30025,-0.51725,-1.07875
0.29175,-0.2115,-1.05025,0.079,-0.454,-1.20425
0.27825,-0.2205,-1.00475,0.0225,-0.384,-1.0135
0.32825,-0.41475,-1.02475,0.128,-0.2805,-0.369
0.3795,-0.5085,-1.072,0.2355,-0.3025,-0.41975
0.42975,-0.4365,-1.05275,0.123,-0.276,-0.486
0.36325,-0.3245,-0.92575,0.34075,-0.46975,-0.9482501
0.3095,-0.3095,-0.89525,0.412,-0.54825,-1.33575
0.26875,-0.298,-0.7970001,0.01075,-0.20925,-0.3955
0.2475,-0.301,-0.7485,0.00625,-0.336,-0.41175
0.19425,-0.3465,-0.663,0.06875,-0.35725,-0.5470001
0.19775,-0.3485,-0.62625,0.16475,-0.36575,-0.6242501
0.234,-0.42675,-0.70775,0.234,-0.5757501,-1.147
0.234,-0.42675,-0.70775,0.234,-0.5757501,-1.147
