2,Yufei,21_20_05_2021_02_18,50,300,7
0.95575,0.2845,-0.2035,0.3345,0.8857501,-0.35325
-0.08325,-0.08525001,-1.2065,-0.42975,-0.26175,-0.979
-0.08325,-0.08525001,-1.2065,-0.4185,-0.313,-0.8847501
-0.05725,-0.0075,-1.285,-0.46375,-0.3755,-0.8707501
-0.05725,-0.0075,-1.285,-0.46375,-0.3755,-0.8707501
-0.07250001,0.035,-1.20875,-0.35,-0.358,-0.9752501
-0.09,0.01675,-1.0635,-0.334,-0.3415,-0.9152501
-0.09,0.01675,-1.0635,-0.323,-0.28575,-0.84075
-0.09,0.01675,-1.0635,-0.354,-0.29225,-0.807
-0.05875,-0.03625,-1.00675,-0.311,-0.28925,-0.7985001
-0.05875,-0.03625,-1.00675,-0.311,-0.28925,-0.7985001
-0.01875,-0.1175,-1.19325,-0.3615,-0.2365,-0.8430001
-0.01275,-0.04125,-1.15775,-0.17725,-0.16,-1.02125
0.06925,-0.1085,-1.07375,-0.018,-0.20825,-1.07175
0.06925,-0.1085,-1.07375,-0.018,-0.20825,-1.07175
0.06925,-0.1085,-1.07375,-0.018,-0.20825,-1.07175
0.26075,-0.18375,-1.081,-0.04775,-0.14475,-1.285
0.23375,-0.199,-1.10625,-0.30625,-0.12,-1.16425
0.19975,-0.22425,-1.20975,-0.42525,-0.082,-0.936
0.286,-0.18875,-1.25875,-0.35875,-0.151,-1.035
0.25375,-0.178,-1.2595,-0.29425,-0.233,-1.0925
0.20825,-0.195,-1.2655,-0.24125,-0.1975,-1.01725
0.09525,-0.1465,-1.24575,-0.53075,-0.15775,-0.9925001
0.11825,-0.08525001,-1.372,-0.51825,-0.2345,-1.0045
0.2425,-0.2555,-1.4995,-0.54525,-0.396,-1.17325
0.115,-0.26025,-1.5735,-0.458,-0.3135,-1.07025
0.0115,-0.165,-1.4945,-0.477,-0.33725,-1.02775
-0.27325,-0.0575,-1.3965,-0.48525,-0.428,-0.9127501
-0.258,-0.02525,-1.45175,-0.3865,-0.54075,-0.61575
-0.25125,-0.00425,-1.4985,-0.354,-0.4935,-0.52
-0.225,-0.01825,-1.55,-0.35425,-0.38225,-0.43
-0.272,-0.1275,-1.38725,-0.31325,-0.24225,-0.36425
-0.274,-0.16775,-1.228,-0.32625,-0.23475,-0.387
-0.23675,-0.1885,-1.021,-0.33525,-0.385,-0.55375
-0.23675,-0.1885,-1.021,-0.25875,-0.46625,-0.70175
-0.2555,-0.198,-0.90425,-0.17725,-0.5485,-0.8362501
-0.28475,-0.23825,-0.822,-0.18475,-0.59175,-0.9245
-0.2455,-0.23075,-0.688,-0.06375001,-0.648,-1.2325
-0.18575,-0.2225,-0.6125,0.04225,-0.63775,-1.433
-0.13825,-0.2605,-0.5872501,0.0445,-0.5935,-1.48425
-0.07,-0.3365,-0.59475,0.07,-0.5835,-1.44075
-0.027,-0.35225,-0.6205,0.048,-0.5415,-1.168
0.1975,-0.3675,-0.8345,0.04125,-0.4385,-0.9392501
0.27325,-0.353,-0.83025,0.04875,-0.43025,-0.9037501
0.32325,-0.387,-0.85725,0.08625001,-0.39375,-0.92575
0.44425,-0.43475,-0.876,0.0555,-0.38425,-0.7295001
0.525,-0.42925,-0.86,0.052,-0.356,-0.63925
0.57175,-0.4305,-0.8592501,0.029,-0.33775,-0.565
0.5875,-0.39675,-0.7877501,0.054,-0.326,-0.594
0.619,-0.2745,-0.7355,0.111,-0.37075,-0.647
0.56375,-0.08025,-0.7195,0.16925,-0.44,-0.68025
0.57675,-0.17275,-0.94375,0.06375001,-0.331,-0.67075
0.617,-0.47625,-1.04275,0.1585,-0.44925,-0.9955
0.6175,-0.6495,-1.015,0.17775,-0.4445,-1.11075
0.4765,-0.57725,-0.91725,0.14675,-0.45175,-1.16925
0.428,-0.31375,-0.6245,0.1885,-0.50525,-1.16825
0.44275,-0.31875,-0.56375,0.202,-0.47125,-1.0565
0.431,-0.36325,-0.62575,0.22775,-0.46425,-1.06325
0.42725,-0.49375,-0.78225,0.173,-0.27675,-0.8825001
0.408,-0.49225,-0.93275,0.22825,-0.269,-0.88375
0.40925,-0.304,-0.86725,0.20775,-0.18625,-0.8962501
0.1075,-0.2405,-1.16475,0.25675,-0.22775,-0.8825001
0.09100001,-0.2635,-1.09825,0.2485,-0.28975,-0.85225
0.17925,-0.18825,-1.096,0.18025,-0.38925,-0.81225
0.20075,-0.251,-1.114,0.13875,-0.4925,-0.6565
0.152,-0.23725,-1.07475,0.14925,-0.5195,-0.66
-0.0065,-0.2885,-0.9765,0.17825,-0.55,-0.786
0.227,-0.29,-0.923,0.2215,-0.57275,-1.0055
0.2395,-0.32425,-0.9665,0.24575,-0.535,-0.9115
0.21025,-0.325,-1.0275,0.195,-0.50075,-0.9252501
0.17125,-0.35625,-1.08525,0.237,-0.5425,-0.64625
0.351,-0.24375,-1.16375,0.207,-0.55775,-0.70675
0.532,-0.15875,-1.17475,0.189,-0.56475,-0.7665001
0.23925,-0.2495,-0.80475,0.149,-0.59975,-0.7220001
0.12075,-0.27725,-0.6585,0.1855,-0.53125,-0.76175
0.013,-0.24125,-0.75525,0.18525,-0.5477501,-0.81525
0.295,-0.293,-0.936,0.19475,-0.58575,-0.9292501
0.33275,-0.208,-1.00125,0.17575,-0.58875,-0.933
0.43325,-0.3115,-1.108,0.197,-0.5155,-0.95575
0.4775,-0.408,-1.1865,0.15575,-0.475,-0.8602501
0.50675,-0.5135,-1.167,0.1435,-0.4505,-0.8222501
0.235,-0.48275,-0.677,0.195,-0.44625,-0.7855
-0.01675,-0.24525,-0.6705,0.147,-0.4625,-0.81225
0.2115,0.01825,-1.03075,0.14825,-0.46425,-0.84425
0.2435,-0.2295,-0.989,0.15625,-0.47725,-0.8742501
0.2435,-0.2295,-0.989,0.1765,-0.46375,-0.881
0.41125,-0.33925,-1.04525,0.174,-0.48525,-0.80325
0.37425,-0.30925,-1.13075,0.138,-0.46625,-0.742
0.36475,-0.162,-1.0675,0.1075,-0.3915,-0.79425
0.36475,-0.162,-1.0675,0.09550001,-0.32225,-0.78
0.36475,-0.162,-1.0675,0.112,-0.2595,-0.82425
0.33425,-0.09325001,-0.997,0.304,-0.186,-1.2355
0.3,-0.0465,-0.9317501,0.4455,-0.1565,-1.4625
0.2605,-0.01,-0.7665001,0.5790001,-0.005,-1.4775
0.21975,0.028,-0.696,0.5665,0.144,-1.3755
0.17875,0.0625,-0.66275,0.499,0.276,-1.262
0.19075,0.019,-0.64575,0.401,0.36725,-1.11975
0.22025,-0.10425,-0.70125,0.2525,0.32325,-0.78525
0.22925,-0.06,-0.786,0.19725,0.22475,-0.70575
0.38975,0.26425,-0.795,0.17875,0.146,-0.71075
0.474,0.06425,-1.35275,0.26,0.06675,-0.7395
0.4775,0.40375,-1.63625,0.3155,0.0315,-0.83025
0.29775,0.708,-1.4275,0.27325,-0.0585,-0.8455001
0.284,0.7032501,-1.30275,0.25475,-0.0895,-0.8222501
0.28025,0.61575,-1.1455,0.2135,-0.13875,-0.79625
0.3115,0.14375,-0.86775,0.299,-0.193,-0.8805
0.3715,0.05225,-0.8437501,0.32025,-0.18025,-0.9480001
0.34825,0.01425,-0.8115,0.287,-0.21175,-0.9902501
0.35475,0.06525,-0.7787501,0.2885,-0.268,-1.01925
0.44,0.032,-0.76675,0.27875,-0.3055,-0.9907501
0.485,0.03325,-0.79325,0.28775,-0.284,-1.072
0.528,0.02525,-0.82625,0.3675,-0.2335,-1.2305
0.48875,-0.03325,-0.8505,0.44975,-0.15675,-1.22575
0.48025,0.05825,-0.8975,0.46,-0.1,-1.0625
0.3525,-0.135,-0.988,0.374,-0.04025,-0.9012501
0.388,-0.16825,-1.0155,0.35325,-0.028,-0.9070001
0.43175,-0.1685,-1.00925,0.37575,0.00375,-0.9495
0.43725,-0.1855,-1.05,0.37375,0.02225,-0.94775
0.3575,-0.15725,-1.08875,0.30525,-0.08475,-0.8890001
0.342,-0.108,-1.073,0.27725,-0.16125,-0.8362501
