1,Yufei,21_23_23_2021_02_18,50,150,6
0.6037501,0.84525,-0.075,0.2125,0.5225,-0.83175
0.703,1.0715,-0.109,-0.04725,0.53575,-0.95175
0.703,1.0715,-0.109,0.05425,0.45075,-0.8585001
0.6677501,1.07,-0.1275,0.18375,0.40075,-0.79
0.6465001,1.11275,-0.135,0.28675,0.3865,-1.03775
0.62075,1.16125,-0.12975,0.33325,0.41625,-1.198
0.59975,1.1715,-0.1165,0.33325,0.41625,-1.198
0.603,1.03275,-0.14575,0.33425,0.36175,-1.27225
0.63425,0.8642501,-0.15475,0.40575,0.185,-0.9425001
0.68875,0.74975,-0.198,0.352,0.13625,-0.9137501
0.7220001,0.7672501,-0.28675,0.04475,0.036,-0.8035001
0.68975,0.7237501,-0.3235,-0.09850001,0.03725,-0.8822501
0.69175,0.728,-0.37225,-0.17975,0.01125,-0.9695001
0.6522501,0.90575,-0.5135,-0.14975,0.0755,-1.09425
0.5872501,0.919,-0.49125,-0.11475,0.0775,-1.1545
0.4885,0.9070001,-0.497,-0.1025,0.037,-1.13825
0.33975,0.7805001,-0.49925,-0.45075,0.08725,-1.07975
0.3115,0.74575,-0.52275,-0.6332501,0.17225,-1.19875
0.32475,0.728,-0.541,-0.62325,0.29175,-1.26325
0.3715,0.7455,-0.5605,-0.45025,0.386,-1.32725
0.3825,0.86775,-0.63975,-0.275,0.45275,-1.4095
0.34275,1.05825,-0.64875,-0.18475,0.3815,-1.39775
0.3775,1.22375,-0.564,-0.027,0.1915,-1.06575
0.456,1.16075,-0.5330001,-0.12525,0.139,-0.7442501
0.489,1.047,-0.4845,-0.274,0.1295,-0.5555
0.483,1.03625,-0.51225,-0.274,0.1295,-0.5555
0.48,0.9762501,-0.53275,-0.22975,0.33375,-1.13225
0.42225,0.90275,-0.54275,-0.1265,0.27325,-1.1015
0.2935,1.069,-0.44675,0.08125,0.013,-0.6585
0.14475,1.15825,-0.44075,0.03125,0.001,-0.457
0.232,1.1215,-0.43725,-0.03425,0.02975,-0.558
0.34325,0.7450001,-0.42775,-0.096,-0.1205,-1.1545
0.436,0.57675,-0.47825,-0.09275001,0.08325,-0.9077501
0.42925,0.489,-0.49325,0.215,-0.16375,-0.9827501
0.217,0.794,-0.41375,0.69175,-0.346,-0.9382501
0.11725,1.0895,-0.4475,0.51025,-0.297,-0.854
0.3295,1.02575,-0.632,0.28675,-0.1335,-0.6285
0.3835,0.74275,-0.4035,0.038,-0.32375,-0.70525
0.46125,0.45125,-0.469,0.0105,-0.4765,-0.7105001
0.55475,0.35475,-0.35725,0.1125,-0.48775,-0.66225
0.59075,0.43625,-0.4825,0.03175,-0.6955,-0.53425
0.5965,0.59125,-0.459,0.13725,-0.92975,-0.473
0.49325,0.71275,-0.4175,0.053,-0.88425,-0.27925
0.48325,0.646,-0.40775,-0.08225001,-0.92475,-0.43975
0.52175,0.5985,-0.425,0.037,-0.909,-0.4315
0.44875,0.5355,-0.40125,-0.05025,-0.70625,-0.37975
0.27925,0.6025,-0.3735,0.0085,-0.6115,-0.429
0.22575,0.771,-0.32325,-0.107,-0.67075,-0.5225
0.429,0.8425,-0.50225,-0.13375,-0.7352501,-0.4755
0.493,0.832,-0.4625,-0.0185,-0.7072501,-0.549
0.43575,0.7635,-0.46175,-0.0185,-0.7072501,-0.549
0.44375,0.6725,-0.51725,-0.1975,-0.78925,-0.7315
0.38075,0.44925,-0.53075,-0.0215,-0.61475,-0.70225
0.4275,0.39875,-0.6020001,0.02975,-0.652,-0.738
0.50575,0.3505,-0.5665,-0.07775,-0.7895001,-0.8610001
0.48675,0.419,-0.78525,-0.068,-0.60925,-0.9215
0.51675,0.40425,-0.88625,-0.11475,-0.882,-1.13825
0.4235,0.18875,-0.8595001,-0.101,-0.8935,-1.06075
0.263,0.04475,-0.71775,0.022,-0.9250001,-1.00475
0.22125,-0.21475,-0.664,-0.14075,-0.9590001,-0.80875
0.228,-0.1905,-0.6562501,0.1595,-1.10925,-0.68775
0.12875,-0.10925,-0.763,0.08425,-0.9975001,-0.58375
-0.1495,-0.15875,-0.777,-0.18125,-0.69275,-0.92875
-0.21625,-0.22,-0.8835,0.19975,-0.59325,-0.626
-0.24375,-0.464,-1.004,0.271,-0.66975,-0.50625
-0.303,-0.59375,-0.978,0.30225,-0.678,-0.59225
-0.28175,-0.79425,-1.0715,0.32325,-0.65525,-0.57025
-0.3045,-0.8935,-1.081,0.291,-0.669,-0.6505001
-0.243,-0.87125,-0.99275,0.34375,-0.4955,-0.7115
-0.17375,-0.80825,-1.0095,0.20525,-0.4125,-0.84925
-0.14,-0.573,-1.0345,0.19725,-0.29475,-1.2115
-0.11375,-0.488,-1.01875,0.17175,-0.36275,-1.2415
-0.1305,-0.49925,-0.9802501,0.1045,-0.3055,-1.26
-0.0855,-0.40825,-0.9935001,0.09925,-0.30575,-1.419
-0.17,-0.3365,-0.9540001,0.119,-0.32975,-1.3615
-0.19175,-0.25725,-0.8602501,-0.00575,-0.2215,-1.32825
-0.19375,-0.23725,-0.7695,-0.205,-0.115,-1.36575
-0.13925,-0.24125,-0.79625,-0.28975,-0.2165,-1.36025
-0.13075,-0.28525,-0.76625,-0.25225,-0.27,-1.28125
-0.16425,-0.32,-0.71375,-0.3075,-0.2435,-1.1775
-0.1505,-0.32375,-0.6990001,-0.26775,-0.32075,-1.21075
-0.1515,-0.30675,-0.72725,-0.212,-0.415,-1.221
