2,vdi30,15_47_12_2021_02_19,50,300,1
0.9877501,-0.19,-0.22875,1.0255,0.13875,0.03675
1.00725,-0.199,-0.25825,1.03975,0.14725,0.051
1.01825,-0.216,-0.24375,1.02275,0.15575,0.063
1.0235,-0.25025,-0.23375,1.04075,0.15575,0.05925
1.00275,-0.2705,-0.256,1.01925,0.16625,0.0335
0.99525,-0.27625,-0.261,1.0115,0.14775,0.023
0.9817501,-0.26,-0.25775,1.00525,0.14375,0.014
0.9935001,-0.253,-0.25325,1.01275,0.12025,0.02475
1.0025,-0.2415,-0.25,1.03075,0.122,0.02525
1.0065,-0.26,-0.2585,1.0425,0.107,0.0175
1.0065,-0.26,-0.2585,1.0425,0.107,0.0175
1.03675,-0.29125,-0.17425,0.99225,0.145,-0.054
1.01575,-0.2985,-0.2475,0.9595001,0.09900001,-0.01725
1.01375,-0.24825,-0.2105,0.9482501,0.109,0.0175
1.0035,-0.20625,-0.13025,0.9482501,0.109,0.0175
1.016,-0.21275,-0.18225,0.9482501,0.109,0.0175
1.05175,-0.23975,-0.11075,0.9482501,0.109,0.0175
1.06875,-0.255,-0.11025,0.9482501,0.109,0.0175
1.03625,-0.25875,-0.15675,1.05125,0.12125,0.15375
1.0065,-0.25375,-0.188,1.138,0.1325,0.17075
0.964,-0.24225,-0.2,1.00775,0.12675,0.00525
0.9547501,-0.21125,-0.19825,0.99525,0.12825,0.02425
0.99625,-0.20925,-0.1665,1.06725,0.1625,0.03375
1.04075,-0.22425,-0.11075,1.02175,0.15775,0.0125
1.05425,-0.24475,-0.12825,1.0115,0.159,0.00925
1.03175,-0.244,-0.123,0.9472501,0.199,0.007
1.022,-0.247,-0.13875,0.9472501,0.199,0.007
1.04525,-0.239,-0.1315,1.04175,0.198,-0.01225
1.0535,-0.168,-0.05775,1.1185,0.23225,0.006
1.07525,-0.14475,-0.10025,1.026,0.1995,0.01525
1.05975,-0.13925,-0.11925,1.018,0.1595,0.0215
1.053,-0.159,-0.134,1.03725,0.0715,-0.031
1.05325,-0.20675,-0.1235,0.9647501,0.087,-0.00475
1.10525,-0.193,-0.0795,1.138,0.14225,0.1645
1.1935,-0.13425,-0.05975,1.3455,0.18875,0.28475
