2,Tony,01_37_16_2021_02_07,50,300,9
0.09675001,0.0275,-1.03725,0.09925,-0.038,-0.9975001
0.09325001,0.02775,-1.03825,0.09950001,-0.03775,-0.99725
-0.17,-0.31825,-1.379,0.09575,-0.0335,-0.9942501
0.16525,0.11025,-1.224,0.101,-0.039,-0.9945
0.0445,-0.0615,-1.2025,0.09675001,-0.039,-0.99625
0.09725001,0.155,-1.13825,0.09625001,-0.04,-1.0005
0.09075,0.094,-1.1135,0.09925,-0.03875,-0.9960001
0.09275001,0.0105,-1.02425,-0.00375,0.34725,-1.041
0.097,0.05375,-1.056,0.1335,-0.16525,-1.0155
0.09950001,0.06025,-1.06175,0.19575,-0.0865,-1.06325
0.09200001,0.0025,-1.01525,0.0865,-0.01325,-0.932
0.09375001,0.02425,-1.036,0.09950001,-0.07625,-1.0345
0.09725001,0.053,-1.057,0.1,-0.04925,-1.003
0.09575,0.02025,-1.0315,0.09825,-0.0415,-1.0045
0.09325001,0.00875,-1.01975,0.09900001,-0.041,-1.00375
0.094,0.02025,-1.033,0.09875,-0.0325,-0.99525
0.09525,0.0615,-1.0605,0.09575,-0.03025,-0.99375
0.09625001,0.02925,-1.03625,0.096,-0.0265,-0.99225
0.09200001,0,-1.014,0.09825,-0.0315,-0.993
0.08625001,-0.016,-1.0005,0.09725001,-0.032,-0.99525
0.09925,0.1165,-1.085,0.09775001,0.0785,-1.007
0.10175,0.1565,-1.1135,0.02475,0.07675,-0.9625
0.09625001,0.03225,-1.03825,0.005,-0.0185,-0.9935001
0.098,0.0365,-1.03325,0.044,-0.01925,-1.00425
0.09425,0.07775,-1.059,0.16575,-0.05625,-0.9942501
0.10425,0.1815,-1.1085,0.17675,-0.10825,-1.005
0.10775,0.16675,-1.1335,0.149,-0.0105,-0.98225
0.3075,-0.2465,-0.67375,0.105,0.062,-0.89775
0.1585,0.01825,-1.075,-0.001,0.0125,-1.15325
0.053,-0.00475,-1.00425,0.08825,-0.145,-1.10325
-0.06675,0.03675,-1.05575,0.1335,-0.22375,-1.0435
-0.09,0.03125,-1.00825,0.09675001,0.01875,-0.9710001
0.0205,0.19075,-1.0365,0.06975,0.164,-0.81875
-0.02175,0.125,-1.0595,0.0855,0.0855,-0.9062501
0.19275,-0.043,-1.03125,0.1075,-0.20575,-1.124
0.16525,-0.12975,-1.03975,0.10375,-0.182,-1.1115
0.09875,0.041,-1.05825,0.09475,0.02075,-0.96
0.08275001,0.03825,-1.02525,0.08400001,0.09425,-0.89175
0.10975,-0.02325,-1.0245,0.0935,0.0335,-0.9390001
0.1605,-0.01125,-1.02625,0.0935,0.0335,-0.9390001
0.305,0.0315,-1.0375,0.112,-0.14125,-1.1035
0.11375,-0.07825001,-1.12675,0.112,-0.14125,-1.1035
0.081,-0.01425,-1.10725,0.10325,-0.1795,-1.111
0.2205,0.0035,-0.9315,0.12075,0.008,-1
0.175,0.0415,-1.004,0.12075,0.008,-1
0.06900001,0.1115,-1.09975,0.01075,0.0595,-0.863
-0.0075,0.01625,-1.04375,0.1065,-0.0735,-1.0455
0.0475,0.05125,-1.05725,0.1065,-0.0735,-1.0455
-0.0245,0.06825,-1.08175,0.1115,-0.12275,-1.08925
0.14325,-0.03025,-0.9522501,0.06975,0.1205,-0.9785001
0.3205,0.0045,-0.86225,0.06975,0.1205,-0.9785001
0.24225,0.03525,-0.8437501,0.06325001,0.08325,-0.9095001
0.23425,-0.3215,-1.17375,-0.06975,-0.05575,-1.0585
0.2245,-0.26725,-1.531,-0.06975,-0.05575,-1.0585
0.21,0.0975,-1.1975,-0.018,-0.0595,-1.00775
0.22,0.11075,-0.9727501,0.104,-0.06325001,-1.025
0.23075,-0.06575,-0.92725,0.104,-0.06325001,-1.025
0.293,-0.031,-0.8987501,0.2095,-0.0935,-0.955
0.3105,0.01225,-0.96675,0.23825,-0.00075,-0.9612501
0.313,-0.02725,-1.01975,0.23825,-0.00075,-0.9612501
0.2615,0.14725,-1.4635,0.13025,0.008,-0.95675
0.4185,-0.1035,-1.2405,0.01175,-0.009000001,-1.002
0.39375,0.01575,-1.141,0.01175,-0.009000001,-1.002
0.34775,0.03225,-1.1385,0.01175,-0.009000001,-1.002
0.5125,-0.046,-1.1965,0.01175,-0.009000001,-1.002
0.66025,-0.00925,-1.16625,0.08425,-0.02225,-1.01125
0.6935,0.05425,-1.1765,0.145,-0.1505,-0.98375
0.57625,0.047,-1.20825,0.03,-0.04975,-1.2305
0.227,0.05875,-0.9895,0.09275001,-0.0265,-1.039
0.18625,0.17475,-0.96325,0.09150001,0.06525,-0.92225
0.20975,0.311,-0.8502501,0.1005,-0.02825,-1.01925
0.19,0.333,-0.8660001,0.0975,-0.01975,-1.01175
-0.058,0.48175,-0.7425,0.11175,-0.07275,-1.00575
-0.3795,0.65725,-0.5065,0.08350001,0.04375,-0.9907501
-0.8502501,0.51225,-0.42775,0.1125,-0.04775,-0.9775
-1.2995,0.4505,-0.711,0.155,-0.21625,-0.98325
-1.00975,0.6950001,-0.27975,-0.01525,-0.19825,-1.067
-0.551,0.67,-0.4855,0.05075,0.0755,-0.812
-0.347,0.6625,0.2215,0.2095,0.315,-0.9225
-0.115,0.188,0.77675,0.07825001,0.07425001,-1.003
-0.55825,0.243,0.4805,0.28075,-0.05525,-1.2405
-0.84575,0.14725,0.384,0.4135,0.09850001,-1.00225
-0.8145,0.29275,0.361,0.3,0.061,-1.2925
-0.68575,0.426,0.14625,0.22275,0.147,-1.1095
-0.66925,0.37175,0.08775,0.24375,-0.0275,-1.18875
-0.6775,0.402,0.1675,0.10775,0.20425,-0.901
-0.7395,0.3335,0.38525,0.0125,0.42575,-0.8165001
-0.9622501,0.3005,0.5165,0.05925,0.36625,-0.9622501
-0.61825,0.332,0.0455,0.562,0.455,-0.8055
-0.7442501,0.35775,-0.04675,0.3285,-0.026,-1.01675
-0.8515,0.27075,-0.13025,0.276,0.233,-1.08425
-1.0405,0.25,-0.34175,0.284,0.21675,-1.0515
-1.18175,0.362,-0.27975,0.284,0.21675,-1.0515
-1.33,0.43275,-0.285,0.63525,0.10875,-0.9015
-1.21025,0.32975,-0.30775,0.9342501,0.291,-0.9827501
-1.1545,0.23875,-0.08675,0.9342501,0.291,-0.9827501
-1.11275,0.27025,-0.1505,0.969,0.6365,-0.7090001
-1.386,0.431,-0.23375,0.6125,-0.05275,-0.9507501
