0,Alice,18_22_12_2021_02_06,50,200,7
0.135,-0.0375,-1.0935,0.06950001,-0.04625,1.0405
0.135,-0.0375,-1.0935,0.06950001,-0.04625,1.0405
0.135,-0.0375,-1.0935,0.06950001,-0.04625,1.0405
0.135,-0.0375,-1.0935,0.06950001,-0.04625,1.0405
0.135,-0.0375,-1.0935,0.06950001,-0.04625,1.0405
0.135,-0.0375,-1.0935,0.06950001,-0.04625,1.0405
0.135,-0.0375,-1.0935,0.06950001,-0.04625,1.0405
0.135,-0.0375,-1.0935,0.06950001,-0.04625,1.0405
0.135,-0.0375,-1.0935,0.06950001,-0.04625,1.0405
0.135,-0.0375,-1.0935,0.06950001,-0.04625,1.0405
0.135,-0.0375,-1.0935,0.06950001,-0.04625,1.0405
0.135,-0.0375,-1.0935,0.06950001,-0.04625,1.0405
0.135,-0.0375,-1.0935,0.06950001,-0.04625,1.0405
0.135,-0.0375,-1.0935,0.06950001,-0.04625,1.0405
0.135,-0.0375,-1.0935,0.06950001,-0.04625,1.0405
0.135,-0.0375,-1.0935,0.06950001,-0.04625,1.0405
0.135,-0.0375,-1.0935,0.06950001,-0.04625,1.0405
0.134,-0.037,-1.09125,0.071,-0.047,1.04175
0.135,-0.03775,-1.09275,0.0705,-0.046,1.03975
0.13475,-0.03675,-1.09275,0.07075001,-0.046,1.04225
0.1345,-0.0385,-1.093,0.07,-0.04675,1.04125
0.1345,-0.0385,-1.09325,0.07125001,-0.047,1.04125
0.135,-0.03775,-1.09225,0.07025,-0.04625,1.04
0.13475,-0.038,-1.09275,0.07225,-0.047,1.042
0.1335,-0.038,-1.09175,0.06950001,-0.046,1.0405
0.1345,-0.0375,-1.0935,0.07075001,-0.0465,1.04125
0.1345,-0.03775,-1.0925,0.06925,-0.046,1.04
0.13375,-0.03825,-1.09175,0.071,-0.04725,1.04125
0.13425,-0.03825,-1.09275,0.07025,-0.045,1.04075
0.1335,-0.03725,-1.09175,0.06900001,-0.046,1.04025
0.1335,-0.03725,-1.092,0.0705,-0.04525,1.04
0.135,-0.03725,-1.093,0.07,-0.04525,1.0405
0.13425,-0.03825,-1.09325,0.0715,-0.0465,1.0415
0.13475,-0.03675,-1.0925,0.06950001,-0.04725,1.0405
0.13425,-0.03675,-1.09175,0.07125001,-0.04725,1.0415
0.133,-0.03775,-1.0925,0.072,-0.04625,1.04125
0.13325,-0.04,-1.09375,0.071,-0.04575,1.03925
0.1355,-0.03825,-1.0915,0.0705,-0.04575,1.04075
0.1355,-0.03775,-1.0925,0.07125001,-0.04625,1.0425
0.13475,-0.0385,-1.0925,0.0685,-0.04625,1.03875
0.1335,-0.03825,-1.09225,0.06875,-0.04525,1.04
0.13375,-0.03725,-1.09125,0.06900001,-0.0465,1.03925
0.1365,-0.037,-1.09375,0.0715,-0.047,1.042
0.13425,-0.0375,-1.09375,0.06950001,-0.04625,1.0405
0.13275,-0.03825,-1.09575,0.07075001,-0.047,1.0415
0.13275,-0.03825,-1.09575,0.07075001,-0.047,1.0415
0.13475,-0.0375,-1.092,0.06950001,-0.0475,1.03875
0.1345,-0.035,-1.09325,0.07,-0.048,1.04275
0.13425,-0.039,-1.092,0.0685,-0.04375,1.03825
0.1335,-0.038,-1.0935,0.07125001,-0.046,1.041
0.13375,-0.04025,-1.0925,0.06950001,-0.04425,1.0395
0.13225,-0.03975,-1.091,0.06975,-0.04525,1.04025
0.13525,-0.0385,-1.09125,0.06825,-0.04525,1.03925
0.1345,-0.03825,-1.094,0.07225,-0.04575,1.0425
0.13325,-0.03725,-1.09175,0.06725001,-0.04675,1.03875
0.135,-0.03675,-1.09375,0.07075001,-0.04675,1.043
0.132,-0.038,-1.092,0.068,-0.04575,1.03925
0.13525,-0.03625,-1.09325,0.0705,-0.04625,1.04075
0.136,-0.0435,-1.0885,0.07125001,-0.04375,1.0385
0.13625,-0.03325,-1.09575,0.07,-0.04775,1.041
0.137,-0.04425,-1.0915,0.06925,-0.04225,1.04125
0.12975,-0.0385,-1.091,0.0705,-0.04225,1.03
0.13125,-0.041,-1.086,0.0675,-0.0415,1.03175
0.139,-0.036,-1.093,0.07300001,-0.05,1.0355
0.14025,-0.031,-1.09325,0.075,-0.055,1.04875
0.13275,-0.0405,-1.09075,0.07175,-0.0455,1.034
0.13025,-0.03775,-1.0975,0.06275,-0.047,1.0465
0.13325,-0.0355,-1.09,0.06875,-0.0475,1.03875
0.1335,-0.0455,-1.09425,0.06975,-0.0405,1.04575
0.136,-0.0395,-1.088,0.07225,-0.043,1.02775
0.13775,-0.029,-1.09475,0.0735,-0.05675,1.042
0.12925,-0.043,-1.08275,0.0675,-0.04025,1.0175
0.136,-0.04325,-1.102,0.07125001,-0.04375,1.05625
0.13375,-0.03625,-1.08325,0.0705,-0.0465,1.036
0.13125,-0.045,-1.0925,0.06725001,-0.041,1.05025
0.134,-0.035,-1.08875,0.06950001,-0.0455,1.0245
0.1375,-0.03125,-1.0945,0.07225,-0.0565,1.051
0.13025,-0.04625,-1.0885,0.07275,-0.038,1.02425
0.136,-0.038,-1.09875,0.06975,-0.04575,1.05525
0.13325,-0.03525,-1.08725,0.06975,-0.05025,1.03325
0.13475,-0.0405,-1.09125,0.066,-0.04175,1.04675
0.13175,-0.04,-1.086,0.072,-0.047,1.0295
0.14275,-0.0295,-1.09675,0.071,-0.053,1.0445
0.135,-0.0325,-1.0885,0.06925,-0.0425,1.03225
0.13,-0.04075,-1.0925,0.06575,-0.041,1.04325
0.136,-0.0385,-1.0895,0.07075001,-0.049,1.04025
0.13275,-0.04325,-1.09425,0.06900001,-0.04475,1.0485
0.1325,-0.05,-1.08675,0.06875,-0.03575,1.035
0.13775,-0.03275,-1.08925,0.07275,-0.047,1.02975
0.14,-0.02775,-1.09375,0.07075001,-0.0405,1.043
0.12825,-0.04925,-1.085,0.06950001,-0.033,1.02175
0.136,-0.03325,-1.0995,0.0715,-0.05375,1.05625
0.1315,-0.04525,-1.0955,0.072,-0.03875,1.03075
0.1285,-0.04925,-1.0925,0.06725001,-0.03825,1.05325
0.139,-0.038,-1.08475,0.07225,-0.04225,1.0245
0.1415,-0.0325,-1.095,0.072,-0.06025,1.05875
0.12775,-0.0435,-1.0825,0.06725001,-0.0395,1.0185
0.123,-0.04625,-1.10275,0.06425,-0.038,1.04625
0.1365,-0.02675,-1.08725,0.07275,-0.05725,1.01725
0.13925,-0.03325,-1.101,0.07475001,-0.05675,1.05925
0.12625,-0.06075,-1.0935,0.06775001,-0.0195,1.03025
0.139,-0.02225,-1.086,0.07025,-0.05725,1.03775
0.1475,-0.01575,-1.1035,0.079,-0.07725,1.0545
0.13625,-0.0455,-1.0785,0.07475001,-0.0465,1.033
0.13,-0.05525,-1.09225,0.07025,-0.02675,1.02875
0.13,-0.0275,-1.0825,0.0625,-0.05325,1.022
0.14025,-0.03,-1.104,0.07275,-0.0575,1.053
0.139,-0.04925,-1.093,0.07600001,-0.028,1.01275
0.1405,-0.01175,-1.0925,0.0755,-0.06925,1.051
0.13925,-0.03625,-1.1005,0.0645,-0.06225,1.06725
0.11275,-0.05425,-1.07775,0.06925,-0.039,1.07025
0.12525,-0.02625,-1.0765,0.0645,-0.0605,1.038
0.13675,-0.03375,-1.10175,0.07075001,-0.04875,1.02425
0.1395,-0.0565,-1.08675,0.07725,-0.0355,1.029
0.145,-0.03375,-1.08525,0.082,-0.04675,1.024
0.145,-0.01725,-1.09675,0.07225,-0.071,1.05575
0.1295,-0.03625,-1.092,0.07025,-0.05575,1.03775
0.1305,-0.0445,-1.089,0.0705,-0.03875,1.04
0.12825,-0.03725,-1.10425,0.06675,-0.047,1.0505
0.122,-0.041,-1.08375,0.05925,-0.03975,1.02925
0.1385,-0.03375,-1.0885,0.07075001,-0.0485,1.03925
0.15,-0.0345,-1.0925,0.08175001,-0.05525,1.04125
0.13575,-0.0355,-1.1,0.07125001,-0.04975,1.0425
0.123,-0.043,-1.08675,0.0615,-0.0395,1.0435
0.12875,-0.03525,-1.0985,0.062,-0.04325,1.03575
0.1375,-0.02725,-1.08925,0.07225,-0.057,1.0415
0.1235,-0.0475,-1.094,0.06275,-0.034,1.03625
0.1275,-0.048,-1.0905,0.06525,-0.03475,1.0375
0.141,-0.03775,-1.08975,0.0775,-0.04925,1.03825
0.14175,-0.044,-1.08825,0.08125,-0.045,1.03425
0.133,-0.039,-1.091,0.06900001,-0.045,1.0395
0.12575,-0.033,-1.09625,0.06575,-0.04675,1.0405
0.13875,-0.038,-1.09075,0.072,-0.04775,1.03825
0.14075,-0.03675,-1.0895,0.07700001,-0.049,1.04025
0.133,-0.0355,-1.0935,0.06675,-0.0465,1.0405
0.132,-0.04275,-1.092,0.06950001,-0.0445,1.043
