1,Tony,01_08_02_2021_02_07,50,150,13
0.06525,-0.27075,-1.01325,-0.09525,-0.2975,-0.96275
-0.187,0.296,-0.61625,-0.192,0.02825,-1.05275
-0.20975,0.47025,-0.5595,-0.0885,0.0855,-0.94925
-0.44775,0.4765,-0.57975,-0.0825,0.0525,-1.0215
-0.67875,0.34,-0.68975,-0.072,0.02175,-1.01875
-0.3025,0.07300001,-0.84275,-0.021,0.09900001,-0.99875
-0.24925,0.13175,-0.7555,0.0045,-0.01575,-0.9815
-0.27175,0.08525001,-0.6435,-0.078,0.06875,-0.936
-0.172,0.11225,-0.79175,-0.15125,0.22225,-1.06075
-0.2555,0.05175,-0.92725,-0.22975,0.23975,-1.15625
-0.28125,0.09675001,-1.2005,-0.29875,0.192,-1.11025
0.00375,0.166,-1.0045,-0.19325,0.14925,-1.51675
0.10975,0.08275001,-0.93225,-0.08675,0.1245,-1.31725
0.23075,0.0225,-0.96075,-0.108,0.11725,-1.20175
0.2925,-0.09225,-1.3685,-0.147,0.08675,-1.05825
0.193,-0.04625,-1.521,-0.15525,0.1,-0.9317501
0.158,0.1975,-1.398,-0.0125,0.13775,-0.8165001
0.0285,0.2705,-1.22125,-0.01,0.1575,-0.89325
0.02325,0.33525,-1.10875,-0.06325001,0.2,-0.8185
0.13325,0.46475,-1.25125,-0.1885,0.23275,-0.8717501
0.03075,0.3,-1.448,-0.1935,0.15125,-0.9942501
-0.02675,0.168,-1.653,-0.0855,0.114,-1.03825
0.045,0.114,-1.46775,-0.015,0.1065,-1.15675
0.07025,0.0025,-1.19375,-0.015,0.1065,-1.15675
0.033,-0.037,-1.206,-0.015,0.1065,-1.15675
0.2535,-0.0425,-1.27325,-0.015,0.1065,-1.15675
0.10525,-0.178,-1.24775,-0.13525,0.10625,-0.98075
-0.03475,-0.34775,-1.1865,-0.12075,0.1655,-0.98875
-0.0795,-0.407,-1.0505,-0.0345,0.13075,-1.092
-0.03875,-0.30875,-0.8265001,0.09675001,0.167,-1.079
-0.11275,-0.319,-0.8225001,0.011,0.19525,-1.04025
-0.19225,-0.3505,-0.95425,-0.1,0.14575,-1.04125
-0.13175,-0.49475,-1.3565,-0.2175,-0.128,-0.9440001
-0.0485,-0.4835,-1.33375,-0.265,-0.14675,-0.93125
-0.04975,-0.4725,-1.19925,-0.22925,-0.15775,-1.0415
-0.18875,-0.32075,-1.051,-0.14375,-0.1155,-1.0125
-0.21125,-0.21325,-1.0585,-0.112,-0.02625,-0.9852501
-0.14875,-0.078,-1.13225,-0.07225,0.18,-0.9165
-0.237,-0.146,-1.04375,-0.07225,0.18,-0.9165
-0.288,-0.2745,-1.097,-0.13275,0.163,-0.9555001
-0.325,-0.3665,-1.09,-0.163,0.0865,-0.9982501
-0.226,-0.29975,-1.165,-0.13375,0.03225,-0.99125
-0.06500001,-0.225,-0.9655001,-0.2065,0.1195,-1.15675
-0.083,-0.18675,-0.8905001,-0.22725,0.01725,-1.02925
-0.156,-0.0305,-0.8855,-0.18725,0.031,-1.1055
-0.09975,0.001,-0.8845,-0.187,0.10775,-1.031
-0.07525001,-0.03425,-0.761,-0.13525,0.2015,-0.789
-0.19675,-0.2985,-1.09,-0.08725,0.22275,-0.9015
-0.19675,-0.2985,-1.09,-0.0425,0.2005,-1.145
-0.00275,-0.455,-1.051,-0.08225001,0.2195,-1.03175
-0.05325,-0.3775,-1.06125,-0.07575,0.25425,-1.0295
-0.01275,-0.3245,-0.97075,-0.157,0.235,-1.1255
