2,Tony,01_11_09_2021_02_07,50,300,12
0.172,-0.174,-1.00025,0.20525,0.017,-1.024
0.2925,-0.17225,-0.50275,0.3215,-0.0585,-0.8650001
0.00675,-0.34575,-0.5035,0.3175,-0.024,-0.8975
0.12625,0.089,-0.592,0.25825,-0.05075,-0.8975
0.24575,0.3655,-0.52175,-0.19625,-0.089,-0.47025
-0.054,-0.2245,-1.0335,-0.3015,-0.07925,-0.3245
-0.356,-0.661,-1.99575,-0.3875,0.04525,-0.46975
0.35575,0.18225,-0.9877501,-0.07875001,-0.6745,-1.20225
0.41125,0.396,-0.754,-0.56825,-0.13675,-0.7787501
0.37725,0.44475,-0.7495,-0.429,-0.481,-0.353
0.1825,0.21825,-1.00925,-0.353,-0.37675,-0.7555
0.1625,-0.00075,-1.10025,0.02125,-0.49525,-0.79325
0.252,-0.14575,-1.27175,0.32575,-0.33525,-0.9942501
0.365,0.0315,-1.092,0.151,-0.29725,-0.78475
0.46925,-0.00075,-0.9705001,0.108,-0.07375,-0.77375
0.318,-0.09675001,-0.82775,0.0745,0.056,-0.7585
0.21175,-0.17,-0.9885001,-0.19975,-0.83,-1.21325
0.19425,-0.29675,-0.9852501,-0.1095,-1.002,-1.18425
0.13275,-0.35425,-1.102,-0.0295,-0.87525,-1.04675
0.172,-0.4385,-1.01225,0.15525,-0.435,-0.194
0.082,-0.496,-0.9105,0.412,-0.37125,-0.3545
0.165,-0.1035,-0.95525,0.1395,-0.64375,-0.80125
0.01075,-0.0135,-0.9850001,-0.1915,-0.67075,-0.6355
-0.072,-0.04325,-1.219,-0.31575,-0.83825,-0.7245001
-0.08625001,-0.2265,-1.383,-0.317,-1.2785,-0.426
0.12775,-0.15125,-1.41725,-0.5355,-0.678,-0.1965
0.20175,-0.087,-1.25275,-0.336,-0.389,-0.382
0.2085,-0.053,-1.226,-0.2615,-0.65925,-0.4935
0.28475,0.017,-1.2655,-0.58325,-0.671,-0.52075
0.243,-0.0825,-1.234,-0.781,-0.6045001,-0.65775
0.02675,-0.24725,-1.265,-0.5135,-0.6867501,-0.9507501
0.1985,-0.424,-1.16625,-0.6350001,-0.9535,-0.85675
0.44825,-0.371,-0.9637501,-0.63975,-0.8645,-0.6152501
0.4785,-0.2135,-0.77075,-0.7180001,-0.56525,-0.45425
0.3215,-0.12625,-1.0675,-0.8545001,-0.5855,-0.707
0.43525,0.1175,-1.23575,-0.8257501,-0.6985,-0.58575
0.46675,0.04025,-1.003,-0.68875,-1.36825,-0.8962501
0.38825,-0.05425,-1.0405,-0.54875,-1.29575,-0.8692501
0.4425,0.0275,-0.8845,-0.5272501,-0.8845,-0.7385001
0.4535,0.01675,-0.7,-0.4965,-0.67425,-0.62575
0.34425,0.14925,-0.7205001,0.019,-0.447,-0.901
0.33425,0.14825,-0.6515,0.042,-0.46375,-0.618
0.228,0.427,-0.3645,-0.17,-0.67075,-0.95425
0.14725,0.36275,-0.0295,-0.1145,-0.59075,-1.0915
0.08025,0.16325,0.10775,-0.0475,-0.59275,-0.9242501
0.0065,0.34625,-0.2205,0.00425,-0.40675,-0.5855
0.1755,0.4055,-0.53325,0.005,-0.333,-0.3
0.25875,0.52125,-0.6465001,-0.305,-0.8185,-0.6562501
0.2635,0.5685,-0.58,0.15725,-0.737,-0.56075
0.134,0.49775,-0.3875,0.2345,-0.366,-0.57025
0.00525,0.3905,-0.375,0.208,-0.296,-0.4645
0.18,0.15875,-0.8477501,0.17975,-0.24775,-0.37825
0.456,0.00675,-0.9160001,0.18775,-0.249,-0.4485
