0,Alice,15:11:34_2021_02_06,50,200
1.03425,-0.06575,0.10625,0.16425,0.05625,-0.993
1.03425,-0.06575,0.10625,0.16425,0.05625,-0.993
1.03425,-0.06575,0.10625,0.16425,0.05625,-0.993
1.03425,-0.06575,0.10625,0.16425,0.05625,-0.993
1.03425,-0.06575,0.10625,0.16425,0.05625,-0.993
1.03425,-0.06575,0.10625,0.16425,0.05625,-0.993
1.03425,-0.06575,0.10625,0.16425,0.05625,-0.993
1.03425,-0.06575,0.10625,0.16425,0.05625,-0.993
1.03425,-0.06575,0.10625,0.16425,0.05625,-0.993
1.03425,-0.06575,0.10625,0.16425,0.05625,-0.993
1.03425,-0.06575,0.10625,0.16425,0.05625,-0.993
1.03425,-0.06575,0.10625,0.16425,0.05625,-0.993
1.03425,-0.06575,0.10625,0.16425,0.05625,-0.993
1.03425,-0.06575,0.10625,0.16425,0.05625,-0.993
1.03425,-0.06575,0.10625,0.16425,0.05625,-0.993
1.03425,-0.06575,0.10625,0.16425,0.05625,-0.993
1.03425,-0.06575,0.10625,0.16425,0.05625,-0.993
1.04525,-0.0645,-0.02325,0.16625,0.05575,-0.994
1.05775,-0.071,-0.007,0.16675,0.05375,-0.99775
1.0635,-0.09100001,0.026,0.166,0.0545,-0.994
1.028,-0.09900001,0.028,0.16725,0.055,-0.998
1.039,-0.1095,-0.002,0.16375,0.05425,-0.9955
1.08025,-0.1235,0.04025,0.16475,0.05475,-0.9945
1.113,-0.1275,0.058,0.16525,0.0555,-0.99375
1.07475,-0.149,0.09450001,0.16525,0.05425,-0.9957501
1.03575,-0.119,0.09825,0.16425,0.05525,-0.9942501
1.00675,-0.10125,0.08450001,0.16425,0.05425,-0.99475
1.01,-0.10975,0.0795,0.166,0.0545,-0.99525
1.08925,-0.2015,0.08075,0.16625,0.05475,-0.9957501
1.05675,-0.193,0.0635,0.16475,0.0555,-0.9950001
0.9545,-0.128,0.07175,0.16525,0.055,-0.9950001
0.9845001,-0.12425,0.0935,0.16525,0.0555,-0.9942501
1.03625,-0.12225,0.1115,0.16475,0.0555,-0.993
1.16675,-0.1155,0.1275,0.166,0.05525,-0.9960001
1.22975,-0.128,0.07875001,0.1655,0.055,-0.9950001
1.1515,-0.12825,0.05075,0.16575,0.05425,-0.9960001
1.139,-0.12175,0.0975,0.164,0.054,-0.9960001
1.19025,-0.126,0.177,0.16325,0.05225,-0.994
1.3605,-0.13925,0.06950001,0.16325,0.05225,-0.994
1.32825,-0.07425001,0.06575,0.1655,0.05425,-0.9982501
1.415,-0.09850001,0.041,0.165,0.055,-0.9935001
1.4295,-0.093,0.019,0.165,0.055,-0.9935001
1.36,-0.14575,0.00625,0.1665,0.05775,-0.992
1.39775,-0.2255,-0.12625,0.167,0.05475,-0.9990001
1.1485,-0.08800001,-0.09225,0.167,0.05325,-0.99775
1.1295,-0.0405,-0.27425,0.166,0.0545,-0.99725
1.3945,-0.22375,-0.2835,0.16575,0.05775,-0.99275
1.39025,-0.2275,-0.276,0.1645,0.056,-0.9910001
1.42575,-0.34275,-0.0455,0.16675,0.05175,-0.997
1.55575,-0.1725,-0.44,0.1645,0.0545,-0.994
1.57675,-0.285,-0.35075,0.165,0.05525,-0.9942501
1.34625,-0.32825,-0.454,0.16475,0.0545,-0.9945
1.37675,-0.36475,-0.53925,0.16525,0.05375,-0.9957501
1.43,-0.3335,-0.634,0.168,0.053,-0.9975001
1.15625,-0.22725,-0.56575,0.1665,0.0565,-0.993
1.13625,-0.1775,-0.5865,0.1655,0.0565,-0.993
1.16675,-0.17075,-0.61775,0.1655,0.05575,-0.99525
1.3555,-0.27625,-0.6810001,0.15975,0.058,-0.9935001
1.269,-0.28975,-0.608,0.16325,0.05825,-0.9907501
1.26475,-0.20775,-0.47975,0.16525,0.05275,-0.9982501
1.2715,-0.08050001,-0.56025,0.16925,0.0505,-0.9932501
1.05775,-0.0815,-0.6407501,0.1665,0.0535,-0.9942501
0.915,-0.13,-0.6635,0.16525,0.056,-0.99275
0.52925,-0.03025,-0.58925,0.1675,0.054,-0.9960001
0.314,0.00125,-0.50575,0.167,0.05175,-0.9942501
0.102,0.011,-0.374,0.16875,0.0515,-0.9960001
-0.376,0.1575,-0.2185,0.161,0.05725,-0.994
-0.567,0.243,-0.1645,0.1605,0.0535,-0.9975001
-0.6935,0.311,-0.0435,0.163,0.05275,-0.99475
-0.9105,0.39525,0.43975,0.163,0.05525,-0.99375
-0.9095001,0.50725,0.6535,0.1635,0.05475,-0.9945
-0.8742501,0.583,0.8455001,0.1645,0.05125,-0.99475
-0.6515,0.6620001,1.15125,0.16575,0.05975,-0.9910001
-0.545,0.6295,1.11775,0.1655,0.0565,-0.993
-0.52175,0.54,1.0755,0.168,0.05125,-0.998
-0.52825,0.39375,1.03075,0.16325,0.05225,-0.99525
-0.6530001,0.25225,0.799,0.166,0.051,-0.9902501
-0.7145,0.232,0.59475,0.16675,0.05425,-0.9982501
-0.789,0.17425,0.345,0.16625,0.05525,-0.9965001
-0.8,0.06,0.27075,0.1655,0.05475,-0.9932501
-0.8512501,-0.15075,0.20725,0.16625,0.05475,-0.9925001
-0.8005,-0.49275,0.04475,0.162,0.0535,-0.994
-0.8655,-0.61325,-0.061,0.1665,0.05075,-0.9985
-0.378,-1.37675,-0.21975,0.171,0.05075,-0.9865
0.9752501,-2.4475,-0.24225,0.17175,0.06025,-0.988
2.09825,-2.795,-0.4145,0.16625,0.066,-0.9892501
2.6505,-2.57375,-0.6945,0.15525,0.0625,-1.00225
3.30075,-2.39425,-1.2645,0.1565,0.0505,-0.9957501
3.34775,-2.624,-1.20625,0.1665,0.0505,-1.00225
3.2355,-3.136,-1.221,0.17,0.056,-0.9942501
2.5895,-2.09175,-1.47,0.173,0.057,-0.98875
2.31375,-1.63425,-1.40525,0.17375,0.051,-0.9992501
2.3155,-1.55,-1.1645,0.17575,0.05225,-0.9950001
2.518,-1.82,-0.48025,0.1745,0.05125,-0.9960001
2.6085,-1.8155,-0.19725,0.166,0.0595,-0.988
2.60325,-1.70125,-0.01875,0.1625,0.0555,-0.9950001
