0,Alice,16_22_51_2021_02_06,50,200
0.113,0.0175,-1.095,0.12375,0.01975,-1.00025
0.113,0.0175,-1.095,0.12375,0.01975,-1.00025
0.113,0.0175,-1.095,0.12375,0.01975,-1.00025
0.113,0.0175,-1.095,0.12375,0.01975,-1.00025
0.113,0.0175,-1.095,0.12375,0.01975,-1.00025
0.113,0.0175,-1.095,0.12375,0.01975,-1.00025
0.113,0.0175,-1.095,0.12375,0.01975,-1.00025
0.113,0.0175,-1.095,0.12375,0.01975,-1.00025
0.113,0.0175,-1.095,0.12375,0.01975,-1.00025
0.113,0.0175,-1.095,0.12375,0.01975,-1.00025
0.113,0.0175,-1.095,0.12375,0.01975,-1.00025
0.113,0.0175,-1.095,0.12375,0.01975,-1.00025
0.113,0.0175,-1.095,0.12375,0.01975,-1.00025
0.113,0.0175,-1.095,0.12375,0.01975,-1.00025
0.113,0.0175,-1.095,0.12375,0.01975,-1.00025
0.113,0.0175,-1.095,0.12375,0.01975,-1.00025
0.113,0.0175,-1.095,0.12375,0.01975,-1.00025
0.11325,0.019,-1.096,0.1235,0.019,-0.99975
0.11325,0.01875,-1.095,0.1235,0.019,-0.99975
0.113,0.018,-1.09575,0.12525,0.01825,-0.9990001
0.1125,0.0205,-1.09525,0.12225,0.0195,-1.00075
0.11375,0.02,-1.09475,0.1235,0.02075,-1.001
0.11125,0.017,-1.09225,0.1235,0.017,-1.00075
0.1125,0.018,-1.09625,0.1245,0.0195,-0.9995
0.11325,0.02,-1.09325,0.1245,0.0195,-0.99975
0.11325,0.0175,-1.0955,0.123,0.01925,-1.00025
0.11225,0.0185,-1.09375,0.1225,0.017,-1.001
0.11275,0.0205,-1.0955,0.12225,0.0195,-1.00025
0.11225,0.01825,-1.095,0.12225,0.0155,-1.00225
0.11275,0.0205,-1.09425,0.12325,0.019,-1
0.1105,0.02025,-1.09625,0.1225,0.01775,-1.00025
0.11225,0.01875,-1.096,0.1235,0.018,-0.99975
0.11225,0.01875,-1.096,0.1235,0.018,-0.99975
0.114,0.01825,-1.09575,0.1255,0.0185,-0.9985
0.11275,0.01775,-1.09475,0.12425,0.0195,-0.9995
0.113,0.0185,-1.09525,0.1245,0.019,-0.9992501
0.1155,0.01975,-1.094,0.12625,0.0185,-1.00025
0.1155,0.01975,-1.094,0.12625,0.0185,-1.00025
0.11375,0.0215,-1.095,0.12275,0.021,-1.00125
0.10825,0.02325,-1.0945,0.11825,0.02125,-1.00175
0.1065,0.0225,-1.0925,0.11825,0.02125,-1.00175
0.112,0.02075,-1.09675,0.1235,0.02075,-0.9985
0.112,0.02075,-1.09675,0.1235,0.02075,-0.9985
0.103,0.013,-1.0975,0.11125,0.011,-1.00125
0.11875,0.007,-1.09,0.1295,0.00825,-1.0005
0.1195,0.01475,-1.09825,0.138,0.01125,-1.00675
0.1155,0.03175,-1.099,0.1205,0.03175,-0.9885001
0.12075,0.00525,-1.09625,0.134,0.006,-1.012
0.1125,0.03525,-1.1,0.1225,0.02575,-0.9950001
0.11,0.03225,-1.099,0.12,0.0325,-0.9990001
0.11,0.03225,-1.099,0.12,0.0325,-0.9990001
0.114,0.01,-1.09275,0.12625,0.00625,-1.004
0.111,0.0175,-1.097,0.12225,0.02475,-0.9975001
0.10625,0.02325,-1.0935,0.1175,0.02125,-1.0015
0.106,0.01725,-1.0955,0.1195,0.017,-0.9990001
0.10925,0.0165,-1.09475,0.121,0.015,-1.0015
0.115,0.02,-1.09525,0.124,0.0195,-1
0.11675,0.02125,-1.09425,0.1265,0.02025,-1.0005
0.11475,0.02025,-1.09525,0.12425,0.01825,-1
0.1125,0.0165,-1.09325,0.1225,0.01625,-1.00125
0.1145,0.01925,-1.0955,0.1235,0.0175,-1.0015
0.1145,0.01925,-1.0955,0.1235,0.0175,-1.0015
0.11175,0.01575,-1.09325,0.12225,0.01425,-1.00275
0.11125,0.0175,-1.093,0.12225,0.0165,-1.00075
0.114,0.023,-1.094,0.1245,0.025,-0.9965001
0.1125,0.01825,-1.09325,0.1245,0.02,-0.99975
0.11275,0.019,-1.096,0.123,0.019,-1.001
0.11275,0.019,-1.096,0.123,0.019,-1.001
0.114,0.02225,-1.09475,0.12475,0.02075,-1.0015
0.1145,0.0205,-1.09525,0.1245,0.01925,-1
0.11325,0.01725,-1.09525,0.1245,0.0165,-0.9982501
0.11325,0.01725,-1.09525,0.1245,0.0165,-0.9982501
0.11425,0.01625,-1.09325,0.125,0.017,-1.0005
0.11575,0.02075,-1.09375,0.126,0.0185,-0.9992501
0.11275,0.01575,-1.09225,0.123,0.01575,-1.0005
0.113,0.01475,-1.09475,0.12125,0.013,-1.00225
0.115,0.016,-1.09425,0.1245,0.01575,-1.00125
0.115,0.016,-1.09425,0.1245,0.01575,-1.00125
0.115,0.016,-1.09425,0.1245,0.01575,-1.00125
0.11175,0.0245,-1.09525,0.121,0.023,-0.9995
0.1095,0.02175,-1.09325,0.12025,0.01825,-1.0005
0.11225,0.021,-1.095,0.12025,0.01975,-1.00075
0.11275,0.0195,-1.09525,0.12225,0.02,-1.0015
0.112,0.02075,-1.096,0.12225,0.02,-1.0015
0.11125,0.01625,-1.09475,0.12275,0.0155,-1.006
0.1135,0.0195,-1.0925,0.1215,0.0205,-1.0015
0.112,0.019,-1.0915,0.124,0.0205,-1.00025
0.1125,0.017,-1.095,0.124,0.0205,-1.00025
