0,Alice,17_21_04_2021_02_06,50,200,10
0.14175,-0.0785,-1.09175,0.083,-0.046,1.041
0.14175,-0.0785,-1.09175,0.083,-0.046,1.041
0.14175,-0.0785,-1.09175,0.083,-0.046,1.041
0.14175,-0.0785,-1.09175,0.083,-0.046,1.041
0.14175,-0.0785,-1.09175,0.083,-0.046,1.041
0.14175,-0.0785,-1.09175,0.083,-0.046,1.041
0.14175,-0.0785,-1.09175,0.083,-0.046,1.041
0.14175,-0.0785,-1.09175,0.083,-0.046,1.041
0.14175,-0.0785,-1.09175,0.083,-0.046,1.041
0.14175,-0.0785,-1.09175,0.083,-0.046,1.041
0.14175,-0.0785,-1.09175,0.083,-0.046,1.041
0.14175,-0.0785,-1.09175,0.083,-0.046,1.041
0.14175,-0.0785,-1.09175,0.083,-0.046,1.041
0.14175,-0.0785,-1.09175,0.083,-0.046,1.041
0.14175,-0.0785,-1.09175,0.083,-0.046,1.041
0.14175,-0.0785,-1.09175,0.083,-0.046,1.041
0.14175,-0.0785,-1.09175,0.083,-0.046,1.041
0.145,-0.07125001,-1.09625,0.08475,-0.04275,1.03325
0.1445,-0.08350001,-1.086,0.08875,-0.05375,1.052
0.14,-0.09150001,-1.0785,0.086,-0.041,1.037
0.13625,-0.07925,-1.0845,0.07975,-0.0445,1.0445
0.1355,-0.07875001,-1.08425,0.08075,-0.051,1.03575
0.1335,-0.07975,-1.0945,0.07825001,-0.04225,1.0325
0.14125,-0.08275001,-1.08175,0.083,-0.045,1.04575
0.1425,-0.078,-1.0915,0.083,-0.046,1.041
0.1455,-0.08350001,-1.093,0.08675,-0.04375,1.04175
0.13925,-0.07925,-1.0745,0.08225001,-0.0475,1.0365
0.136,-0.07300001,-1.0935,0.078,-0.04625,1.0335
0.139,-0.07675,-1.0875,0.07925,-0.04725,1.038
0.145,-0.0825,-1.08525,0.08750001,-0.0475,1.047
0.137,-0.07700001,-1.08125,0.08050001,-0.0445,1.03175
0.1405,-0.07650001,-1.08675,0.0815,-0.04875,1.0405
0.14175,-0.07600001,-1.087,0.0815,-0.04975,1.04025
0.14425,-0.07600001,-1.088,0.08775,-0.047,1.04075
0.144,-0.08400001,-1.081,0.08450001,-0.0445,1.0385
0.14125,-0.07775,-1.08575,0.08225001,-0.04475,1.03775
0.1395,-0.078,-1.087,0.08175001,-0.047,1.0405
0.1385,-0.0785,-1.09,0.08000001,-0.04575,1.03975
0.1415,-0.07325,-1.08675,0.08325,-0.04875,1.04225
0.13975,-0.079,-1.08325,0.08350001,-0.04825,1.037
0.13975,-0.07600001,-1.08775,0.08075,-0.0465,1.041
0.14,-0.081,-1.084,0.0815,-0.045,1.0395
0.14,-0.081,-1.084,0.085,-0.043,1.037
0.1425,-0.08175001,-1.084,0.085,-0.043,1.037
0.142,-0.08050001,-1.08675,0.08425,-0.04475,1.04075
0.14025,-0.08000001,-1.08625,0.081,-0.0425,1.03975
0.13875,-0.0825,-1.085,0.08175001,-0.04325,1.0385
0.14175,-0.079,-1.086,0.08175001,-0.0475,1.0375
0.14275,-0.07675,-1.08775,0.08350001,-0.04825,1.041
0.14075,-0.07925,-1.08475,0.082,-0.047,1.04
0.13925,-0.0815,-1.08125,0.08325,-0.044,1.03675
0.13925,-0.0815,-1.08125,0.08325,-0.044,1.03675
0.14325,-0.0775,-1.088,0.08375,-0.0465,1.04
0.144,-0.07925,-1.08675,0.0825,-0.04625,1.0405
0.14025,-0.08025,-1.083,0.08425,-0.0435,1.037
0.14225,-0.07775,-1.08475,0.08275001,-0.0475,1.03925
0.142,-0.07575,-1.088,0.081,-0.0485,1.03975
0.13975,-0.07525001,-1.08475,0.08050001,-0.0475,1.03925
0.14,-0.08275001,-1.0845,0.08325,-0.04375,1.03725
0.13875,-0.08375,-1.08275,0.083,-0.0455,1.03925
0.1405,-0.07825001,-1.0865,0.08125,-0.0485,1.04225
0.138,-0.07675,-1.0875,0.07875001,-0.046,1.0395
0.13875,-0.0785,-1.08825,0.07725,-0.04375,1.03825
0.14,-0.07875001,-1.08575,0.0825,-0.0465,1.03975
0.14175,-0.079,-1.08575,0.082,-0.0455,1.039
0.141,-0.078,-1.08675,0.083,-0.046,1.0425
0.138,-0.078,-1.089,0.07925,-0.0465,1.03875
0.13825,-0.078,-1.085,0.0785,-0.04575,1.04025
0.1385,-0.07725,-1.0855,0.08125,-0.048,1.04375
0.13875,-0.07875001,-1.0895,0.08175001,-0.04525,1.04225
0.1405,-0.0815,-1.082,0.08325,-0.04375,1.0335
0.14225,-0.0785,-1.08375,0.08525001,-0.04625,1.0385
0.1385,-0.078,-1.09,0.08175001,-0.0475,1.0405
0.1385,-0.078,-1.09,0.08175001,-0.0475,1.0405
0.128,-0.08425,-1.087,0.07650001,-0.03875,1.02925
0.1335,-0.07700001,-1.081,0.0865,-0.0475,1.03825
0.15075,-0.087,-1.08575,0.09450001,-0.04825,1.04725
0.14625,-0.086,-1.0835,0.09175,-0.042,1.0345
0.14325,-0.082,-1.08575,0.07775,-0.0475,1.04175
0.13875,-0.071,-1.08475,0.07525001,-0.0515,1.03175
0.14475,-0.056,-1.0925,0.078,-0.0605,1.03775
0.1405,-0.09475,-1.08525,0.08675,-0.04375,1.0385
0.1395,-0.09150001,-1.0805,0.08475,-0.03,1.0345
0.14275,-0.06875,-1.09175,0.08075,-0.06425,1.049
0.14425,-0.06525,-1.093,0.0855,-0.05925,1.05025
0.14425,-0.08875,-1.0865,0.08800001,-0.03875,1.038
0.1395,-0.09175,-1.07525,0.08875,-0.034,1.027
0.14325,-0.06675,-1.0885,0.081,-0.05875,1.046
0.14125,-0.07475001,-1.0905,0.081,-0.053,1.04275
0.14225,-0.0825,-1.0865,0.0905,-0.0385,1.04075
0.14,-0.1005,-1.082,0.09225,-0.0325,1.037
0.14575,-0.08475,-1.08025,0.08825,-0.038,1.0315
0.14375,-0.06625,-1.0875,0.07700001,-0.0595,1.044
0.139,-0.07,-1.08725,0.07275,-0.047,1.03775
0.1375,-0.08325,-1.089,0.0775,-0.037,1.03175
0.152,-0.1035,-1.0865,0.09925,-0.0335,1.047
0.13925,-0.06525,-1.0865,0.0815,-0.0475,1.022
0.12725,-0.0355,-1.10875,0.05975,-0.06550001,1.05425
0.12725,-0.0355,-1.10875,0.05975,-0.06550001,1.05425
0.12225,-0.09850001,-1.08325,0.07925,-0.0325,1.0215
0.15,-0.056,-1.09525,0.08400001,-0.06225,1.039
0.14725,-0.06875,-1.08825,0.087,-0.0745,1.0555
0.1365,-0.08525001,-1.08225,0.07725,-0.0225,1.02575
0.13275,-0.0815,-1.08475,0.07600001,-0.0265,1.02625
0.14325,-0.07,-1.09275,0.07975,-0.053,1.045
0.1445,-0.07875001,-1.08575,0.08425,-0.05175,1.039
0.1395,-0.079,-1.085,0.08175001,-0.042,1.03025
0.13725,-0.08575001,-1.084,0.08350001,-0.04275,1.03975
0.13925,-0.08450001,-1.08575,0.08375,-0.04275,1.0405
0.14325,-0.07825001,-1.086,0.083,-0.04925,1.03925
0.14325,-0.07825001,-1.086,0.083,-0.04925,1.03925
0.13725,-0.07125001,-1.0865,0.07675,-0.049,1.03725
0.13125,-0.075,-1.088,0.07325,-0.04525,1.0375
0.137,-0.0855,-1.08625,0.07825001,-0.04175,1.0395
0.1505,-0.08375,-1.084,0.094,-0.04425,1.037
0.14475,-0.07325,-1.085,0.08575001,-0.05275,1.04175
0.13475,-0.06725001,-1.08625,0.07275,-0.0525,1.03775
0.13,-0.075,-1.09025,0.07275,-0.0525,1.03775
0.1395,-0.0755,-1.087,0.06925,-0.0475,1.04025
0.1465,-0.09275001,-1.081,0.08175001,-0.04325,1.0385
0.1425,-0.07725,-1.08225,0.07625,-0.04925,1.03825
0.136,-0.0785,-1.084,0.07625,-0.04925,1.03825
0.141,-0.0775,-1.08825,0.0785,-0.04825,1.04275
0.14325,-0.08025,-1.08425,0.0865,-0.0445,1.03575
0.14275,-0.0755,-1.08675,0.08750001,-0.04725,1.0405
0.1395,-0.07575,-1.08575,0.08075,-0.04575,1.0385
0.139,-0.0825,-1.08525,0.0825,-0.046,1.04125
0.1425,-0.0815,-1.08425,0.0815,-0.044,1.03925
0.14625,-0.085,-1.0855,0.0815,-0.044,1.03925
0.144,-0.08000001,-1.085,0.086,-0.0455,1.03875
0.1385,-0.0795,-1.08275,0.08775,-0.04775,1.0445
0.139,-0.07600001,-1.0865,0.08275001,-0.04775,1.0355
0.13725,-0.07975,-1.0855,0.07875001,-0.04425,1.037
0.13725,-0.07925,-1.08575,0.08000001,-0.04325,1.037
0.1365,-0.07875001,-1.084,0.08000001,-0.047,1.03675
0.1375,-0.07775,-1.088,0.081,-0.0465,1.0425
0.13825,-0.08075,-1.08675,0.08000001,-0.046,1.04075
0.1375,-0.07925,-1.08475,0.08000001,-0.046,1.04075
0.13925,-0.079,-1.08675,0.0795,-0.04375,1.0375
0.138,-0.07575,-1.08925,0.07875001,-0.04575,1.04075
0.14125,-0.07575,-1.08725,0.0815,-0.0485,1.041
0.141,-0.079,-1.08425,0.08075,-0.045,1.03925
0.142,-0.0795,-1.08675,0.08075,-0.045,1.03925
0.141,-0.07925,-1.0855,0.08325,-0.04725,1.04075
0.141,-0.078,-1.08675,0.082,-0.047,1.039
0.13975,-0.08050001,-1.08375,0.0855,-0.04575,1.0425
0.136,-0.07600001,-1.0895,0.08050001,-0.047,1.04175
0.13575,-0.07600001,-1.0865,0.0785,-0.04575,1.041
0.132,-0.07300001,-1.085,0.0755,-0.04725,1.037
0.1375,-0.08000001,-1.08425,0.0785,-0.0435,1.03775
0.1375,-0.08000001,-1.08425,0.0785,-0.0435,1.03775
0.1505,-0.08225001,-1.0805,0.09425,-0.04725,1.0405
0.142,-0.0705,-1.0835,0.08175001,-0.0525,1.032
0.134,-0.06550001,-1.089,0.07275,-0.047,1.04525
0.139,-0.079,-1.08525,0.081,-0.04275,1.02925
0.144,-0.08225001,-1.0865,0.089,-0.0445,1.0365
0.148,-0.09075,-1.08075,0.09175,-0.04325,1.04475
0.14075,-0.08475,-1.084,0.08225001,-0.0495,1.04025
0.14425,-0.07925,-1.08525,0.08475,-0.053,1.0495
0.143,-0.08375,-1.0835,0.087,-0.04425,1.038
0.1425,-0.0785,-1.08375,0.08575001,-0.04825,1.0425
0.14125,-0.08075,-1.08275,0.08400001,-0.04425,1.035
0.14175,-0.07650001,-1.0865,0.08400001,-0.04425,1.035
0.14275,-0.07975,-1.0865,0.08275001,-0.049,1.03825
0.14375,-0.07825001,-1.08725,0.083,-0.04575,1.0375
0.14325,-0.08225001,-1.08275,0.085,-0.044,1.0385
0.14075,-0.08125,-1.08525,0.085,-0.044,1.0385
0.1405,-0.083,-1.08575,0.0825,-0.04175,1.04025
0.1395,-0.07775,-1.091,0.081,-0.048,1.039
0.1375,-0.07675,-1.087,0.08075,-0.04725,1.0425
0.13425,-0.07475001,-1.08825,0.07375,-0.04775,1.03975
0.13225,-0.07425001,-1.08925,0.07475001,-0.04775,1.04325
0.134,-0.07275,-1.0895,0.07475001,-0.047,1.03875
0.1355,-0.07625,-1.0895,0.078,-0.04675,1.0445
0.13775,-0.079,-1.08525,0.079,-0.04675,1.04425
0.1375,-0.07325,-1.08925,0.07675,-0.04775,1.044
0.1385,-0.082,-1.087,0.08225001,-0.0415,1.03675
0.14075,-0.08325,-1.0865,0.08475,-0.04425,1.03925
0.144,-0.0795,-1.08625,0.08475,-0.04425,1.03925
0.13975,-0.0795,-1.08375,0.08275001,-0.0465,1.04125
0.14175,-0.07700001,-1.0875,0.0825,-0.046,1.04175
0.138,-0.082,-1.083,0.081,-0.04425,1.03675
0.1405,-0.07650001,-1.0865,0.08050001,-0.045,1.03825
0.14,-0.075,-1.08475,0.081,-0.0505,1.037
0.13625,-0.075,-1.08675,0.07725,-0.04675,1.038
0.1315,-0.074,-1.0855,0.07175,-0.0455,1.03875
0.13475,-0.0775,-1.08675,0.09075,-0.0405,1.03975
0.1565,-0.09375001,-1.0835,0.10425,-0.04225,1.04225
0.153,-0.08075,-1.07725,0.09725001,-0.05,1.03575
0.129,-0.07300001,-1.092,0.0685,-0.0485,1.04275
0.13275,-0.0785,-1.08925,0.07225,-0.041,1.0465
0.1415,-0.078,-1.07975,0.0935,-0.05,1.0335
0.1475,-0.08425,-1.08775,0.09175,-0.044,1.05075
0.13725,-0.0815,-1.08775,0.08050001,-0.037,1.02725
0.1395,-0.0705,-1.09375,0.0775,-0.0485,1.044
0.14475,-0.083,-1.08625,0.08575001,-0.04525,1.029
0.143,-0.081,-1.08225,0.08800001,-0.043,1.03525
0.1435,-0.079,-1.0845,0.08275001,-0.04975,1.03375
0.141,-0.075,-1.0845,0.08075,-0.045,1.03775
0.13925,-0.08050001,-1.0875,0.0795,-0.04375,1.04
0.1425,-0.079,-1.08675,0.08525001,-0.0465,1.04225
0.14175,-0.08375,-1.08425,0.08725,-0.04375,1.03825
0.1415,-0.08325,-1.0845,0.087,-0.04275,1.03925
0.1425,-0.082,-1.085,0.08450001,-0.045,1.04175
0.14375,-0.07975,-1.086,0.085,-0.04725,1.041
0.14025,-0.07975,-1.08375,0.0815,-0.04675,1.038
0.137,-0.079,-1.0825,0.082,-0.04475,1.03475
0.135,-0.07325,-1.085,0.0775,-0.04625,1.04075
0.13525,-0.0735,-1.08775,0.074,-0.0465,1.039
0.13525,-0.074,-1.0885,0.08000001,-0.04825,1.04075
0.139,-0.07575,-1.08675,0.0795,-0.04625,1.04
0.138,-0.08175001,-1.0845,0.08175001,-0.04475,1.04125
0.13825,-0.08000001,-1.0865,0.08075,-0.0445,1.04075
0.13675,-0.07775,-1.09,0.08025,-0.04575,1.043
0.139,-0.08225001,-1.0845,0.08225001,-0.044,1.039
0.1425,-0.07650001,-1.086,0.08450001,-0.048,1.041
0.14125,-0.07675,-1.088,0.0825,-0.048,1.0405
0.1395,-0.079,-1.08825,0.08075,-0.045,1.03925
0.1385,-0.07975,-1.08525,0.08075,-0.045,1.04
0.142,-0.08025,-1.0835,0.083,-0.04475,1.0375
0.14,-0.08025,-1.0825,0.083,-0.04475,1.0375
0.13425,-0.0745,-1.08525,0.0775,-0.049,1.039
0.13125,-0.07,-1.09325,0.075,-0.0435,1.0395
0.1435,-0.08450001,-1.08075,0.08675,-0.04275,1.037
0.15025,-0.0825,-1.08375,0.09125,-0.05025,1.0375
0.15025,-0.08125,-1.0805,0.09125,-0.05025,1.0375
0.13275,-0.074,-1.08875,0.07275,-0.04775,1.03825
0.13325,-0.07700001,-1.08475,0.07600001,-0.044,1.04125
0.149,-0.08325,-1.08575,0.09100001,-0.04825,1.04075
0.1455,-0.09025001,-1.081,0.0895,-0.0435,1.04025
0.141,-0.07875001,-1.08725,0.08025,-0.049,1.0455
0.13925,-0.074,-1.09,0.083,-0.0495,1.04
0.141,-0.08075,-1.084,0.08425,-0.0425,1.0315
0.14275,-0.0745,-1.0835,0.08425,-0.0485,1.04025
0.13775,-0.08125,-1.08675,0.08225001,-0.04475,1.034
0.139,-0.081,-1.08325,0.08175001,-0.042,1.039
0.1385,-0.07825001,-1.0865,0.08075,-0.04725,1.039
0.143,-0.0785,-1.08525,0.08325,-0.04525,1.04
0.1415,-0.08000001,-1.0825,0.08450001,-0.04425,1.03725
0.14225,-0.082,-1.08375,0.08475,-0.04275,1.0385
0.141,-0.08225001,-1.08425,0.08425,-0.04025,1.036
0.142,-0.08025,-1.082,0.085,-0.0455,1.04375
0.1395,-0.07725,-1.08425,0.08225001,-0.047,1.03875
0.13875,-0.07925,-1.0865,0.08075,-0.0475,1.04375
0.13825,-0.078,-1.086,0.07875001,-0.0465,1.0385
0.1375,-0.07575,-1.0875,0.07700001,-0.0445,1.0415
0.13675,-0.07775,-1.0865,0.07475001,-0.045,1.03925
0.1365,-0.078,-1.0885,0.07700001,-0.0435,1.0395
0.13825,-0.07725,-1.08425,0.0815,-0.0475,1.04125
0.13975,-0.0795,-1.08625,0.083,-0.04675,1.041
0.13725,-0.0795,-1.08725,0.0815,-0.04375,1.04175
0.13625,-0.0785,-1.09,0.07875001,-0.04625,1.0445
0.13925,-0.07700001,-1.0875,0.0785,-0.0465,1.04025
0.13575,-0.0775,-1.087,0.081,-0.047,1.037
0.14075,-0.08025,-1.08325,0.08325,-0.04475,1.04175
0.143,-0.081,-1.08325,0.086,-0.04575,1.03925
0.143,-0.081,-1.08325,0.086,-0.04575,1.03925
0.136,-0.07475001,-1.08625,0.083,-0.047,1.04025
0.136,-0.07650001,-1.08325,0.07825001,-0.045,1.03775
