0,Doc,02_25_06_2021_02_07,50,200,13
0.006,-1.01475,-0.00875,0.01175,1.0115,0.023
0.0055,-1.0155,-0.007,0.009500001,1.01225,0.0245
0.00625,-1.014,-0.0085,0.0125,1.0115,0.02525
0.00575,-1.01475,-0.009000001,0.016,1.012,0.02625
0.004,-1.0145,-0.00875,0.0145,1.01075,0.02325
0.00575,-1.0145,-0.0105,0.01275,1.01125,0.02425
0.00475,-1.015,-0.00725,0.012,1.01225,0.0275
0.0035,-1.01475,-0.006,0.01075,1.0115,0.025
0.006,-1.01375,-0.00875,0.0115,1.01225,0.02625
0.002,-1.0145,-0.0115,0.01425,1.0105,0.023
0.0025,-1.0135,-0.00775,0.01425,1.01075,0.0215
0.00325,-1.01425,-0.0045,0.01275,1.0125,0.02175
0.0115,-1.01425,-0.01075,0.0125,1.01175,0.0275
0.004,-1.0145,-0.009500001,0.01175,1.01175,0.024
-0.0025,-1.01475,-0.0085,0.01425,1.01225,0.022
0.0055,-1.01475,-0.012,0.015,1.01125,0.02475
0.00925,-1.015,-0.0045,0.01125,1.012,0.026
0.00875,-1.014,-0.00775,0.00975,1.0155,0.0255
0.00125,-1.014,-0.0105,0.01475,1.01125,0.026
0.0045,-1.01475,-0.00825,0.018,1.0095,0.01975
0.008,-1.01425,-0.01025,0.01625,1.01225,0.021
0.00375,-1.015,-0.005,0.01025,1.01275,0.0285
0.00325,-1.01375,-0.00625,0.00975,1.01175,0.02775
0.00475,-1.012,-0.0145,0.01475,1.01125,0.022
0.003,-1.01325,-0.014,0.01375,1.01125,0.02275
0.004,-1.015,-0.006,0.01,1.01225,0.024
0.00575,-1.01475,-0.00975,0.01,1.01225,0.024
0.00725,-1.01425,-0.009500001,0.013,1.0115,0.02775
0.00475,-1.01475,-0.0085,0.015,1.01175,0.02475
0.0025,-1.014,-0.00925,0.015,1.01175,0.02475
0.001,-1.0135,-0.00725,0.012,1.013,0.0255
0.008,-1.01425,-0.01025,0.012,1.013,0.0255
0.00875,-1.014,-0.009000001,0.01225,1.012,0.02525
0.00025,-1.01375,-0.008,0.012,1.01075,0.02525
0.00325,-1.0135,-0.009000001,0.0115,1.01275,0.02575
0.02275,-1.021,-0.01075,0.0115,1.01275,0.02575
-0.004,-1.008,-0.0175,0.012,1.0115,0.0245
-0.0065,-1.0115,-0.0065,0.01675,1.01275,0.02525
0.02025,-1.01425,-0.013,0.00925,1.01225,0.02625
-0.03625,-0.993,-0.01075,0.01075,1.01325,0.02725
0.04425,-1.03525,0.00675,0.0175,1.012,0.014
0.0015,-1.014,-0.02175,0.03725,1.001,-0.37325
-0.01575,-1.00175,-0.02975,0.0385,1.00775,0.124
-0.0215,-1.00725,-0.04675,0.02775,1.02875,0.14875
-0.01075,-1.007,-0.09625001,-0.1165,1.0135,0.3525
0.01875,-1.0095,-0.1525,-0.0125,1.032,-0.25225
0.062,-1.0065,0.0215,0.09025001,0.95025,-0.25825
0.05325,-1.02975,0.26025,0.0975,0.98975,-0.18825
0.0105,-1.00275,0.40925,0.1385,0.9852501,0.307
-0.1405,-1.6,-0.2775,0.08925001,1.04875,0.274
0.0005,-0.7515,-0.54025,0.08925001,1.04875,0.274
0.1505,-0.7555,-0.1445,-0.2725,1.0215,-0.3115
-0.009500001,-0.89325,-0.6525,-0.199,1.015,-0.09225
