0,Tony,18_35_57_2021_02_06,50,200,0
0.14025,-0.08925001,-1.0855,0.0745,-0.01175,1.04
0.14575,-0.08875,-1.08875,0.07650001,-0.022,1.06475
0.1405,-0.08450001,-1.10225,0.07175,-0.00425,1.047
0.14175,-0.08575001,-1.094,0.0795,-0.012,1.04225
0.14375,-0.08675,-1.0875,0.078,-0.01475,1.0435
0.13875,-0.08325,-1.096,0.07175,-0.00875,1.03875
0.138,-0.09225,-1.0845,0.075,-0.009000001,1.0365
0.13725,-0.0895,-1.08525,0.071,-0.011,1.0365
0.13625,-0.085,-1.09025,0.07325,-0.016,1.044
0.141,-0.08575001,-1.09575,0.07600001,-0.0105,1.0415
0.13925,-0.08875,-1.085,0.07650001,-0.0115,1.035
0.13975,-0.08625001,-1.09025,0.07700001,-0.00975,1.0365
0.14175,-0.0895,-1.09225,0.0745,-0.0115,1.0465
0.14,-0.08775,-1.0875,0.07275,-0.01025,1.04
0.1415,-0.086,-1.08875,0.07775,-0.011,1.0415
0.14275,-0.08800001,-1.087,0.07675,-0.00975,1.03825
0.1395,-0.08675,-1.0875,0.075,-0.0115,1.04125
0.14075,-0.0865,-1.088,0.0755,-0.01025,1.038
0.14075,-0.08725,-1.0885,0.07625,-0.01025,1.0405
0.139,-0.08775,-1.0845,0.07300001,-0.01075,1.039
0.1375,-0.0895,-1.0875,0.07075001,-0.00925,1.03875
0.13975,-0.08725,-1.092,0.07475001,-0.01025,1.04175
0.1425,-0.08725,-1.08675,0.07625,-0.01125,1.038
0.1405,-0.08675,-1.08875,0.07650001,-0.01,1.04075
0.14,-0.08825,-1.087,0.074,-0.01025,1.03925
0.14075,-0.086,-1.0875,0.07475001,-0.01225,1.041
0.14225,-0.085,-1.08625,0.07600001,-0.012,1.04
0.1405,-0.08800001,-1.08625,0.07475001,-0.011,1.0365
0.13875,-0.08800001,-1.08825,0.075,-0.00975,1.04075
0.1405,-0.083,-1.085,0.07275,-0.012,1.038
0.14125,-0.09200001,-1.0935,0.0775,-0.011,1.04425
0.138,-0.08475,-1.0745,0.07425001,-0.014,1.03225
0.13775,-0.09150001,-1.08775,0.07425001,-0.0105,1.0335
0.13975,-0.07925,-1.09325,0.07125001,-0.0105,1.04575
0.141,-0.09075,-1.0805,0.0755,-0.007,1.03975
0.1395,-0.0885,-1.09075,0.074,-0.01075,1.04725
0.14025,-0.08925001,-1.08375,0.07775,-0.0105,1.0365
0.13925,-0.08750001,-1.08425,0.07600001,-0.0145,1.04375
0.13875,-0.08825,-1.086,0.075,-0.01,1.03425
0.13775,-0.08625001,-1.09,0.07300001,-0.00975,1.04175
0.13725,-0.09100001,-1.0825,0.0755,-0.009000001,1.0345
0.13975,-0.08625001,-1.092,0.07425001,-0.0145,1.046
0.13825,-0.08775,-1.08875,0.07525001,-0.0125,1.0425
0.138,-0.08625001,-1.08975,0.07425001,-0.0125,1.04425
0.13675,-0.09075,-1.087,0.0755,-0.01,1.037
0.13825,-0.0885,-1.08625,0.07475001,-0.01025,1.03725
0.142,-0.08625001,-1.08675,0.07475001,-0.014,1.03875
0.141,-0.082,-1.084,0.0775,-0.0105,1.037
0.137,-0.0905,-1.091,0.07075001,-0.006,1.04425
0.127,-0.07975,-1.1055,0.08225001,-0.00575,1.05175
0.15325,-0.09150001,-1.062,0.086,-0.005,1.01025
0.149,-0.06525,-1.133,0.067,-0.00875,1.0725
0.14325,-0.115,-1.086,0.079,-0.001,1.02525
0.14225,-0.0645,-1.0985,0.075,-0.005,1.059
0.13725,-0.09450001,-1.08025,0.07525001,-0.017,1.03325
0.14175,-0.08825,-1.08,0.07725,-0.008,1.04275
0.133,-0.087,-1.079,0.07475001,-0.02025,1.0325
0.13925,-0.09425,-1.101,0.07275,-0.0075,1.04925
0.135,-0.0825,-1.06075,0.075,-0.0135,1.027
0.1425,-0.0865,-1.0995,0.07425001,-0.013,1.039
0.14425,-0.0815,-1.08625,0.0795,-0.0105,1.04825
0.143,-0.0975,-1.078,0.07300001,-0.00525,1.04225
0.13475,-0.09125,-1.08175,0.072,-0.00775,1.04325
0.14,-0.09075,-1.08425,0.07650001,-0.0075,1.0315
0.14775,-0.08725,-1.1025,0.0815,-0.013,1.04425
0.1405,-0.08825,-1.084,0.07925,-0.0085,1.0285
0.13875,-0.09525,-1.08575,0.07625,-0.0015,1.041
0.13825,-0.08025,-1.093,0.072,-0.01025,1.0365
0.13825,-0.08050001,-1.09125,0.0715,-0.013,1.048
0.14175,-0.0885,-1.0835,0.07575,-0.00975,1.037
0.1415,-0.0895,-1.0875,0.0775,-0.009500001,1.0485
0.1395,-0.08725,-1.085,0.07625,-0.01075,1.042
0.137,-0.08750001,-1.08875,0.07300001,-0.00625,1.036
0.1435,-0.08525001,-1.086,0.07775,-0.0105,1.03775
0.14475,-0.08475,-1.08925,0.0775,-0.009500001,1.037
0.1395,-0.093,-1.08475,0.078,-0.008,1.04275
0.137,-0.08875,-1.09225,0.07650001,-0.009000001,1.043
0.14225,-0.09450001,-1.0825,0.07975,-0.0085,1.038
0.14325,-0.08800001,-1.092,0.079,-0.00675,1.04
0.143,-0.086,-1.08875,0.07875001,-0.00925,1.03775
0.145,-0.08775,-1.08825,0.07925,-0.009000001,1.038
0.1375,-0.09200001,-1.0835,0.0735,-0.00525,1.03775
0.13525,-0.089,-1.0885,0.0735,-0.00525,1.03775
0.14725,-0.0905,-1.0785,0.08325,-0.00925,1.034
0.14925,-0.09825,-1.092,0.0865,-0.00425,1.04375
0.137,-0.09675001,-1.08425,0.07025,-0.005,1.04275
0.1355,-0.08725,-1.08775,0.06175,-0.00925,1.03875
0.13275,-0.079,-1.094,0.06725001,-0.011,1.0415
0.1395,-0.093,-1.0845,0.07875001,-0.0075,1.03225
0.139,-0.089,-1.09075,0.0755,-0.0055,1.04475
0.134,-0.08775,-1.08775,0.06975,-0.00825,1.041
0.13725,-0.08675,-1.09125,0.0735,-0.00975,1.04275
0.13975,-0.07825001,-1.095,0.07375,-0.0145,1.04275
0.1405,-0.08625001,-1.09,0.0755,-0.01,1.04175
0.14125,-0.087,-1.09075,0.07775,-0.00775,1.04325
0.14075,-0.08575001,-1.089,0.07525001,-0.00925,1.0385
0.14425,-0.0865,-1.088,0.07775,-0.009000001,1.04
0.145,-0.09575,-1.083,0.082,-0.00725,1.04
0.14375,-0.08450001,-1.08775,0.07650001,-0.01025,1.044
0.1425,-0.0895,-1.085,0.07525001,-0.009000001,1.03675
0.13975,-0.08925001,-1.08875,0.075,-0.00875,1.04075
0.1415,-0.09025001,-1.08875,0.0775,-0.006,1.042
0.14225,-0.08825,-1.08775,0.07525001,-0.00775,1.03925
0.141,-0.08750001,-1.08825,0.0755,-0.00675,1.04125
0.143,-0.08400001,-1.0865,0.07575,-0.00875,1.0395
0.1385,-0.09475,-1.09275,0.07600001,-0.0085,1.0395
0.14125,-0.09450001,-1.087,0.07650001,-0.009500001,1.034
0.14275,-0.08375,-1.09475,0.07675,-0.0065,1.04775
0.141,-0.08800001,-1.0815,0.07575,-0.009500001,1.038
0.14275,-0.08400001,-1.09275,0.07475001,-0.00625,1.049
0.14175,-0.09200001,-1.08575,0.07675,-0.01025,1.037
0.141,-0.086,-1.09425,0.07575,-0.00575,1.0445
0.138,-0.08975001,-1.0815,0.07325,-0.007,1.038
0.1425,-0.08275001,-1.08575,0.07625,-0.0085,1.0405
0.1425,-0.08275001,-1.08575,0.07625,-0.0085,1.0405
0.1405,-0.09425,-1.08875,0.07475001,-0.009000001,1.03475
0.13875,-0.08325,-1.09675,0.0755,-0.00425,1.0495
0.1385,-0.0885,-1.07775,0.07300001,-0.009500001,1.0335
0.141,-0.0885,-1.09175,0.0755,-0.008,1.035
0.1435,-0.08425,-1.09425,0.0755,-0.00775,1.052
0.14,-0.08375,-1.09325,0.074,-0.00475,1.041
0.13925,-0.08825,-1.0855,0.07525001,-0.0085,1.034
0.1415,-0.08575001,-1.093,0.075,-0.00775,1.046
0.1415,-0.08975001,-1.0815,0.07725,-0.009500001,1.03925
0.1405,-0.09,-1.088,0.074,-0.00675,1.04525
0.14175,-0.0885,-1.0875,0.07675,-0.0075,1.04375
0.14125,-0.08675,-1.08875,0.07475001,-0.008,1.03875
0.14275,-0.08725,-1.08775,0.078,-0.00875,1.042
0.141,-0.08575001,-1.089,0.07525001,-0.00875,1.03975
0.14,-0.087,-1.08775,0.075,-0.009000001,1.04075
0.14025,-0.08775,-1.0865,0.07600001,-0.0085,1.04075
0.1395,-0.08675,-1.09,0.07650001,-0.00875,1.04075
0.13925,-0.08725,-1.088,0.074,-0.009000001,1.0405
0.14225,-0.0895,-1.0865,0.07625,-0.00675,1.0415
0.14275,-0.08800001,-1.0875,0.07775,-0.00825,1.041
0.14075,-0.08750001,-1.08875,0.07675,-0.0075,1.04125
0.141,-0.08725,-1.088,0.07675,-0.00825,1.04025
0.1415,-0.0865,-1.0885,0.0755,-0.0085,1.03925
0.1415,-0.087,-1.0875,0.07525001,-0.00825,1.04075
0.14275,-0.09,-1.08675,0.078,-0.0065,1.041
0.1425,-0.08825,-1.0895,0.07975,-0.00825,1.0415
0.14125,-0.087,-1.088,0.0785,-0.00875,1.041
0.138,-0.0865,-1.08825,0.07375,-0.00875,1.03975
