0,Alice,14:33:59_2021_02_06,50,200
0.05775,0.10375,-1.0905,0.13725,-0.0275,-0.998
0.05725,0.10025,-1.09175,0.13325,-0.02875,-1.0015
0.05825,0.10225,-1.09275,0.13425,-0.02425,-0.9992501
0.05825,0.10225,-1.09275,0.13425,-0.02425,-0.9992501
0.05875,0.10175,-1.09325,0.13575,-0.02525,-0.9992501
0.05875,0.10175,-1.09325,0.13325,-0.027,-1.0035
0.05825,0.1015,-1.0925,0.13325,-0.027,-1.0035
0.05825,0.1015,-1.0925,0.134,-0.02425,-0.9982501
0.058,0.1005,-1.093,0.134,-0.02425,-0.9982501
0.058,0.1005,-1.093,0.134,-0.0245,-0.9960001
0.0575,0.10175,-1.0915,0.134,-0.0245,-0.9960001
0.056,0.1025,-1.0915,0.13525,-0.02525,-0.9985
0.05775,0.10125,-1.09225,0.13525,-0.02525,-0.9985
0.057,0.10075,-1.09125,0.135,-0.02475,-0.99775
0.05725,0.1015,-1.091,0.134,-0.0255,-1.00075
0.05725,0.1015,-1.091,0.134,-0.0255,-1.00075
0.05775,0.1025,-1.09075,0.134,-0.0255,-1.00075
0.05775,0.1025,-1.09075,0.136,-0.02525,-0.9990001
0.058,0.10125,-1.09275,0.136,-0.02525,-0.9990001
0.05725,0.10075,-1.0915,0.134,-0.02575,-1.00075
0.05725,0.10075,-1.0915,0.134,-0.02575,-1.00075
0.05675,0.1025,-1.09075,0.1345,-0.02675,-0.9990001
0.05825,0.1005,-1.09275,0.1335,-0.026,-1.002
0.05825,0.1005,-1.09275,0.1335,-0.026,-1.002
0.0585,0.10225,-1.093,0.134,-0.02625,-1.00025
0.058,0.1025,-1.09,0.13525,-0.026,-0.99875
0.058,0.1025,-1.09,0.13525,-0.026,-0.99875
0.0565,0.102,-1.09025,0.13675,-0.0255,-0.99775
0.0565,0.102,-1.09025,0.13675,-0.0255,-0.99775
0.0555,0.104,-1.09075,0.134,-0.0255,-1.00025
0.05875,0.1035,-1.09225,0.13525,-0.027,-0.9992501
0.0575,0.10175,-1.09225,0.1335,-0.02675,-1.00125
0.059,0.101,-1.09325,0.13375,-0.026,-1.002
0.059,0.101,-1.09325,0.133,-0.025,-1.00025
0.05975,0.10325,-1.09325,0.133,-0.025,-1.00025
0.057,0.10175,-1.09,0.1345,-0.025,-0.99875
0.05625,0.10175,-1.0915,0.13525,-0.025,-0.9975001
0.05625,0.10175,-1.09175,0.134,-0.0255,-0.99975
0.0565,0.102,-1.091,0.134,-0.0255,-1
0.05725,0.103,-1.09175,0.13375,-0.02475,-1.00075
0.05725,0.103,-1.09175,0.13375,-0.02475,-1.00075
0.05825,0.102,-1.09225,0.13425,-0.0265,-1.00125
0.057,0.10225,-1.0915,0.13275,-0.02525,-1.00025
0.0575,0.1015,-1.09025,0.134,-0.0255,-0.9990001
0.0575,0.1015,-1.09025,0.13425,-0.025,-1.00075
0.059,0.103,-1.09125,0.13425,-0.025,-1.00075
0.05775,0.10075,-1.08975,0.13125,-0.02725,-0.9975001
0.057,0.10325,-1.0925,0.1355,-0.025,-1.00575
0.0575,0.10375,-1.098,0.1355,-0.025,-1.00575
0.0575,0.10375,-1.098,0.136,-0.02825,-1.001
0.05775,0.1015,-1.08775,0.133,-0.0235,-0.99275
0.05625,0.10525,-1.0985,0.13625,-0.02475,-0.9982501
0.05625,0.10525,-1.0985,0.13625,-0.02475,-0.9982501
0.0575,0.1005,-1.091,0.135,-0.029,-1.00425
0.05625,0.10175,-1.0895,0.1345,-0.02475,-0.99525
0.05775,0.10325,-1.0915,0.13525,-0.023,-0.992
0.05725,0.1005,-1.09725,0.13625,-0.028,-1.006
0.058,0.10025,-1.09375,0.13525,-0.0275,-1.00225
0.058,0.10025,-1.09375,0.132,-0.02375,-0.9950001
0.058,0.103,-1.0905,0.13425,-0.02575,-0.99725
0.0575,0.09975,-1.09375,0.13425,-0.02575,-0.99725
0.0575,0.10025,-1.0895,0.13375,-0.02575,-1.00025
0.0575,0.10025,-1.0895,0.13375,-0.02575,-1.00025
0.0585,0.10325,-1.095,0.13425,-0.0245,-0.9965001
0.0585,0.10325,-1.095,0.13425,-0.0245,-0.9965001
0.05775,0.1005,-1.09325,0.13375,-0.0275,-1.00275
0.05775,0.1005,-1.09325,0.13375,-0.0275,-1.00275
0.056,0.101,-1.09175,0.134,-0.02675,-1.00275
0.056,0.101,-1.09175,0.134,-0.02675,-1.00275
0.0595,0.10475,-1.0945,0.1345,-0.02375,-0.9965001
0.0595,0.10475,-1.0945,0.1345,-0.02375,-0.9965001
0.05675,0.1015,-1.091,0.13475,-0.02525,-1.00025
0.05675,0.1015,-1.091,0.13475,-0.02525,-1.00025
0.0585,0.103,-1.09175,0.134,-0.024,-0.99725
0.0585,0.103,-1.09175,0.134,-0.024,-0.99725
0.05675,0.10075,-1.0895,0.13425,-0.025,-0.997
0.05675,0.10075,-1.0895,0.13425,-0.025,-0.997
0.05775,0.102,-1.09275,0.13525,-0.02525,-1.00025
0.05775,0.102,-1.09525,0.13525,-0.02525,-1.00025
0.05775,0.102,-1.09525,0.13525,-0.02525,-1.00025
0.05775,0.09925,-1.09175,0.13325,-0.02575,-1.00025
0.05775,0.09925,-1.09175,0.13325,-0.02575,-1.00025
0.0575,0.10025,-1.09125,0.135,-0.02475,-0.9992501
0.0575,0.10025,-1.09125,0.13375,-0.02475,-1.00025
0.05825,0.10275,-1.0935,0.13375,-0.02475,-1.00025
0.05775,0.1005,-1.091,0.13375,-0.0255,-1.00075
0.05625,0.1035,-1.09125,0.13475,-0.0255,-0.9995
0.05775,0.1035,-1.0925,0.134,-0.026,-1.00175
0.05775,0.1035,-1.0925,0.134,-0.026,-1.00175
0.057,0.1025,-1.09125,0.1355,-0.026,-0.9982501
0.05675,0.1015,-1.091,0.13325,-0.0265,-1.0015
0.05825,0.1035,-1.09375,0.1345,-0.02525,-0.9990001
0.05825,0.1035,-1.09375,0.1345,-0.02525,-0.9990001
0.0585,0.10025,-1.0915,0.1345,-0.026,-1.0005
0.0585,0.10025,-1.0915,0.1345,-0.026,-1.0005
0.05625,0.1025,-1.091,0.13525,-0.02625,-0.9990001
0.05625,0.1025,-1.091,0.13525,-0.02625,-0.9990001
0.0575,0.10275,-1.0925,0.1345,-0.025,-0.9995
0.0575,0.10275,-1.0925,0.1345,-0.025,-0.9995
0.0575,0.1005,-1.09225,0.13425,-0.02575,-1.0025
0.0575,0.101,-1.092,0.13425,-0.0245,-0.99875
0.05775,0.102,-1.09225,0.13425,-0.0245,-0.99875
0.05775,0.102,-1.09225,0.13425,-0.0245,-0.99875
0.05775,0.10175,-1.092,0.13425,-0.02475,-0.9992501
0.05775,0.10175,-1.0925,0.13375,-0.026,-1
0.05775,0.10175,-1.0925,0.13375,-0.026,-1
0.0565,0.10125,-1.09,0.135,-0.026,-0.99975
0.05825,0.1005,-1.09275,0.1335,-0.02525,-1.00075
0.0565,0.10175,-1.08775,0.13625,-0.026,-0.99725
0.0565,0.10175,-1.08775,0.13625,-0.026,-0.99725
