0,Alice,16_20_11_2021_02_06,50,200
0.11325,0.019,-1.0965,0.12425,0.01775,-0.9990001
0.11325,0.019,-1.0965,0.12425,0.01775,-0.9990001
0.11325,0.019,-1.0965,0.12425,0.01775,-0.9990001
0.11325,0.019,-1.0965,0.12425,0.01775,-0.9990001
0.11325,0.019,-1.0965,0.12425,0.01775,-0.9990001
0.11325,0.019,-1.0965,0.12425,0.01775,-0.9990001
0.11325,0.019,-1.0965,0.12425,0.01775,-0.9990001
0.11325,0.019,-1.0965,0.12425,0.01775,-0.9990001
0.11325,0.019,-1.0965,0.12425,0.01775,-0.9990001
0.11325,0.019,-1.0965,0.12425,0.01775,-0.9990001
0.11325,0.019,-1.0965,0.12425,0.01775,-0.9990001
0.11325,0.019,-1.0965,0.12425,0.01775,-0.9990001
0.11325,0.019,-1.0965,0.12425,0.01775,-0.9990001
0.11325,0.019,-1.0965,0.12425,0.01775,-0.9990001
0.11325,0.019,-1.0965,0.12425,0.01775,-0.9990001
0.11325,0.019,-1.0965,0.12425,0.01775,-0.9990001
0.1125,0.01975,-1.0955,0.1245,0.01875,-0.9995
0.1135,0.019,-1.096,0.12425,0.0185,-1.00025
0.11275,0.01825,-1.096,0.1235,0.01875,-0.99975
0.111,0.0205,-1.0965,0.12375,0.019,-0.9995
0.11325,0.01925,-1.09625,0.123,0.0185,-1.00025
0.11175,0.01925,-1.096,0.126,0.0185,-0.99975
0.1135,0.01875,-1.09625,0.1235,0.018,-1.00075
0.114,0.018,-1.09575,0.1245,0.0195,-1.00075
0.114,0.018,-1.09575,0.1245,0.0195,-1.00075
0.11225,0.0205,-1.09625,0.1235,0.02075,-1.00075
0.11225,0.0195,-1.0965,0.1235,0.01875,-0.9992501
0.113,0.01775,-1.0955,0.124,0.019,-1.0005
0.112,0.01925,-1.09725,0.12425,0.02,-1.00075
0.11275,0.01975,-1.0955,0.1235,0.018,-1
0.1115,0.019,-1.0965,0.12425,0.01875,-0.9990001
0.1125,0.01925,-1.09675,0.124,0.0185,-0.9995
0.11425,0.0175,-1.0955,0.125,0.019,-0.9995
0.11175,0.01875,-1.09625,0.12325,0.018,-1.001
0.1135,0.018,-1.09625,0.12175,0.018,-1.00075
0.11325,0.0185,-1.09575,0.1245,0.01925,-1.00025
0.11225,0.01975,-1.096,0.12325,0.01825,-1.00025
0.11225,0.01975,-1.096,0.1225,0.01825,-1.0005
0.11225,0.0195,-1.096,0.1235,0.018,-1.00025
0.1115,0.01925,-1.09575,0.1245,0.018,-0.9985
0.11225,0.018,-1.09725,0.123,0.017,-1.00125
0.114,0.01775,-1.09525,0.124,0.01775,-0.9992501
0.11425,0.019,-1.09475,0.1235,0.01975,-1
